# overall AIC: 53.848952957974 
#  partChain,AIC
0,56.740861528928
1,53.884859366078
2,55.728819699780
3,55.582975401014
4,55.127401484968
5,56.054226589560
6,55.725072121808
7,56.320422531712
8,55.876506464106
9,55.958098822202
10,56.245946921342
11,55.370236471976
12,55.063605941550
13,53.848952957974
14,56.098530660182
15,55.654347518364
16,56.071094201542
17,56.386997642962
18,56.055520401272
19,55.579923728470
20,56.496709275260
21,55.671726607540
22,55.073638932642
23,54.616466457098
24,56.635591825170
25,56.049364560832
26,56.145231643704
27,55.963571700366
28,55.068365576564
29,54.914853377310
30,55.135697847924
31,54.542185419010
32,56.379351639804
33,56.689644681208
34,56.130740572070
35,55.844075958582
36,56.322337308358
37,56.050482851076
38,55.035941401152
39,55.653388313796
40,55.531064684844
41,55.501854591694
42,55.140420337640
43,54.838620872352
44,55.204211404420
45,55.770692453346
46,55.145692507872
47,55.085303406216
48,55.261797027706
49,55.380386117968
