# overall AIC: 53.794470728402 
#  partChain,AIC
0,54.091201434710
1,55.163386456218
2,55.087676414580
3,54.257201198212
4,55.702736124964
5,55.397345333216
6,55.237957786148
7,55.081637702068
8,54.970360268792
9,56.098839294438
10,56.162132262034
11,55.525915825408
12,54.616741296338
13,55.238964370348
14,55.216066367646
15,55.251543322606
16,55.617096721620
17,54.729410681680
18,55.603957972752
19,55.436135001372
20,55.955606093520
21,55.408651363438
22,55.400788816632
23,55.239102167216
24,55.925950439496
25,55.525339939590
26,53.794470728402
27,55.922231358092
28,54.951118713336
29,55.303827206042
30,55.470947864410
31,53.911432068456
32,53.823564618104
33,55.279438564856
34,55.490858365998
35,54.716994458394
36,55.431993378898
37,54.584866547636
38,54.183732492700
39,55.693355060480
40,54.482504869942
41,55.676138220518
42,55.632953311926
43,54.906456010706
44,55.088358119634
45,55.652920586714
46,54.521293401618
47,55.661669668832
48,54.912705518350
49,55.291530366234
