# overall AIC: 72.576812597608 
#  partChain,AIC
0,73.330493062902
1,73.231044790640
2,77.422442288442
3,74.579148304590
4,78.606296028986
5,74.258493602162
6,76.261247365324
7,76.289296183708
8,73.011310160250
9,78.212728680270
10,73.855053340392
11,76.138168973316
12,74.388906942836
13,76.028654620498
14,79.473997360202
15,76.991847298886
16,78.018750592234
17,78.848038345422
18,75.630081234254
19,77.615923918920
20,77.247504288708
21,75.609080236120
22,77.167734827634
23,74.486449609828
24,75.683058650490
25,78.362036819478
26,72.576812597608
27,73.760789454072
28,78.338908564202
29,76.321029730450
30,74.117795910768
31,77.243840003720
32,74.574735260740
33,78.456198191576
34,76.845869769588
35,76.565748511814
36,75.518157431562
37,75.759633674148
38,76.836410979916
39,74.863870120314
40,75.331454700434
41,77.873872873550
42,77.706693094246
43,75.002280079588
44,73.262324358724
45,75.730747789526
46,75.722899057996
47,76.666004658940
48,75.229450056386
49,74.732113729540
