# overall AIC: 56.923581434912 
#  partChain,AIC
0,59.822417247132
1,60.584493275092
2,59.175265775730
3,60.323583093908
4,60.889057432790
5,60.301272896176
6,58.938374989436
7,59.802937412004
8,56.998753886142
9,60.387179178450
10,59.933735952730
11,56.923581434912
12,60.407013475420
13,60.828629375430
14,60.319065232800
15,60.316644653494
16,60.527715445440
17,61.307311929832
18,58.949103153176
19,61.162140540344
20,60.279085607246
21,60.837658608142
22,60.096238829776
23,58.966715999698
24,59.818255634588
25,60.049765821276
26,60.662623573862
27,60.371788690212
28,59.619395298992
29,59.289820342122
30,60.134808550118
31,59.799505019582
32,59.199133002942
33,59.390514242958
34,61.265606857178
35,59.807745254172
36,60.863011967512
37,60.593205215226
38,60.099683166260
39,59.670726600560
40,60.351701378936
41,59.341717794200
42,59.673531204694
43,60.803034032928
44,60.435584575108
45,59.303251577428
46,59.719859799658
47,61.282573772366
48,60.079538155188
49,59.348017398148
