# overall AIC: 64.715588471648 
#  partChain,AIC
0,67.041225562248
1,66.187455423728
2,65.852310399890
3,66.453580859606
4,66.558027293396
5,67.336479990806
6,67.367616720802
7,65.045157765750
8,66.318666684696
9,66.483920231784
10,66.479108424878
11,67.534806756600
12,67.041791832114
13,65.942478350082
14,66.189639005540
15,67.452024679228
16,66.996853112998
17,66.481539291020
18,66.957609342834
19,66.557514612720
20,66.313505769780
21,64.998494123808
22,66.819581985516
23,65.299863602440
24,66.177801272504
25,65.676753777656
26,65.953071168096
27,65.887321931860
28,65.890191710924
29,65.790118062954
30,65.509502552458
31,66.067232366872
32,66.703095998892
33,66.856607573138
34,64.902188993538
35,66.282919321904
36,65.816079102242
37,65.923021774340
38,65.737581782386
39,65.360309439572
40,67.246352186086
41,65.465484692238
42,67.047016517586
43,67.845152965714
44,64.715588471648
45,65.729167784786
46,68.166164557022
47,66.844541619992
48,66.911494895962
49,65.043783652654
