# overall AIC: 72.14678734908 
#  partChain,AIC
0,74.435550247792
1,74.229044894334
2,74.243299327092
3,74.870578186098
4,72.807600291220
5,74.597177491280
6,74.826245800058
7,75.794853358312
8,73.514680168818
9,73.745609544808
10,75.865830597480
11,73.455821864984
12,74.904539844114
13,73.823360911636
14,72.388711871950
15,75.387218119594
16,75.129058128340
17,72.146787349080
18,73.199384049498
19,73.817785727362
20,73.501187851114
21,73.549315008168
22,73.501455803188
23,74.636897256906
24,74.570020199200
25,74.832075896184
26,72.151659325156
27,74.726599879828
28,76.140892201246
29,75.204428038898
30,74.004176318254
31,73.449865931760
32,72.185490580128
33,73.845032936448
34,72.497269853976
35,72.434139866132
36,73.120666188790
37,72.603746139428
38,74.862831946306
39,73.423883241734
40,73.789664700922
41,75.751209845440
42,74.718294933662
43,75.291047591372
44,72.638138808474
45,76.665856556128
46,74.101041162008
47,74.489097346510
48,74.409849637384
49,72.769453310360
