# overall AIC: 39.172446338602 
#  population,partChain,AIC
0,0,40.224420177890
0,1,40.235268659486
0,2,40.076683551960
0,3,40.235268659486
0,4,38.727144743542
0,5,40.657099684958
0,6,40.303251948104
0,7,40.078562805414
0,8,39.970989989270
0,9,39.598184258192
1,0,39.948189804884
1,1,39.694035113850
1,2,40.462915370490
1,3,39.694035113850
1,4,40.066323840328
1,5,40.137004814118
1,6,39.675568218454
1,7,39.215857489442
1,8,40.067509320780
1,9,39.948189804884
2,0,40.153154077358
2,1,40.153154077358
2,2,39.984021829370
2,3,40.330020286472
2,4,39.820477468520
2,5,39.959100957876
2,6,39.768967441042
2,7,40.934637647818
2,8,39.961559572622
2,9,39.768967441042
3,0,40.112031418580
3,1,39.884361993394
3,2,39.802502765234
3,3,39.698489530254
3,4,39.884361993394
3,5,40.806943164804
3,6,39.883852230198
3,7,40.124343496790
3,8,39.884361993394
3,9,40.669315393016
4,0,39.130044655818
4,1,39.584191736300
4,2,39.046115770804
4,3,39.698772480394
4,4,39.582377113998
4,5,38.782125215614
4,6,39.022285298834
4,7,39.793679791670
4,8,39.022285298834
4,9,39.152188921808
5,0,39.237505440080
5,1,39.712339744402
5,2,38.452689802190
5,3,39.712339744402
5,4,39.609089633794
5,5,39.189789859274
5,6,39.779402054146
5,7,39.646582305530
5,8,40.357820327014
5,9,40.656859985136
6,0,38.157866096796
6,1,38.402883402502
6,2,38.842951689490
6,3,38.772963824062
6,4,38.157866096796
6,5,38.302212674698
6,6,38.816031244398
6,7,38.549839560796
6,8,38.157866096796
6,9,38.302212674698
7,0,39.392632816524
7,1,39.061725835566
7,2,39.748955625820
7,3,38.930033957458
7,4,39.341843750854
7,5,39.493384775856
7,6,39.429707213740
7,7,39.341843750854
7,8,39.595339883304
7,9,39.333677040224
8,0,38.818726980550
8,1,38.597747265980
8,2,38.949352528754
8,3,38.826099806978
8,4,38.761234925924
8,5,38.516129454610
8,6,39.199212268374
8,7,38.497524179110
8,8,39.379605157106
8,9,39.257148868660
9,0,39.935246249454
9,1,39.572449544024
9,2,39.641813425208
9,3,39.935246249454
9,4,39.641813425208
9,5,40.297758203014
9,6,39.172446338602
9,7,39.624018805798
9,8,39.296563821222
9,9,39.172446338602
