# overall AIC: 54.103700834096 
#  partChain,AIC
0,55.860283575256
1,56.128521262792
2,56.378921818714
3,56.130840157804
4,55.519578509134
5,56.226124862458
6,55.739206660990
7,56.058724172764
8,55.661820719498
9,55.356609474890
10,56.138993822786
11,56.051445475756
12,54.103700834096
13,55.730593880314
14,55.196078951916
15,57.166151932836
16,54.600080446732
17,55.685137135558
18,55.783106582108
19,56.225881313456
20,56.503991986184
21,55.036152900568
22,56.281947183950
23,56.595213707068
24,55.079767694402
25,55.704294411138
26,56.008482494234
27,55.885369322854
28,56.364959587224
29,55.587652596542
30,55.771884766690
31,56.133054743172
32,55.951300899800
33,55.994949493970
34,55.826497650438
35,56.426836693610
36,56.050352105752
37,56.068349653178
38,56.144116435832
39,55.415833782090
40,55.515758054708
41,56.528037919674
42,56.409414327886
43,55.620045929310
44,55.597880609072
45,55.294632781426
46,56.124632745164
47,55.694670305520
48,55.430988325970
49,55.758327537880
