# overall AIC: 53.304235806598 
#  partChain,AIC
0,55.270378305806
1,55.587742647462
2,54.572186033560
3,55.346726348120
4,55.468664577990
5,55.422655538322
6,55.628267896824
7,55.110183411512
8,55.395915016400
9,55.542664233950
10,53.754553267372
11,54.850260379350
12,55.059416969622
13,55.089610735188
14,56.144430606792
15,56.052296952064
16,53.304235806598
17,54.755335984934
18,55.716574024930
19,55.855041426248
20,56.311139913778
21,54.262785396100
22,55.623433689538
23,54.702420905498
24,55.742191257096
25,54.415508826260
26,54.499275899658
27,55.059931274648
28,54.721777755234
29,54.504348749662
30,53.801935444838
31,55.578019575196
32,55.343764541394
33,55.168559279248
34,55.797323608506
35,55.400613707530
36,55.973846213574
37,54.866083748928
38,55.108735780230
39,55.502649421386
40,54.863675759690
41,54.930413080422
42,55.700224423810
43,55.318861055202
44,55.554757605970
45,54.429647534316
46,55.678790024730
47,55.719284254166
48,55.496299144424
49,55.390721915876
