# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
-1.705529680729999942e-01,3.580998068393999922e+00,2.186438180695000177e+00,2.516052142999999908e-02,1.335945872708999893e+00,1.383569586261000017e+00,-2.605104884074599880e+01
3.478101038529999856e-01,4.334177557507000067e+00,2.101381407090999964e+00,8.867966543999999257e-03,1.293570681018999968e+00,1.429866890036999960e+00,-2.046950482758600032e+01
5.039701096000000213e-02,4.631864880315999855e+00,2.366487661145999954e+00,1.372663213589999931e-01,1.289088887464999944e+00,1.250791252393000041e+00,-2.177566801864499979e+01
3.624225779299999894e-01,5.324528591468999927e+00,2.496545572251999801e+00,2.703872250389999787e-01,1.032138990600999895e+00,1.762998492649999971e+00,-2.060055309549800029e+01
6.252873546970000307e-01,3.974271644474999921e+00,2.052114086147000194e+00,1.461851468100000030e-02,8.483180258029999754e-01,2.103339990648999791e+00,-2.284274826839200045e+01
4.208759920999999640e-03,5.211520565395000304e+00,2.633884459088000174e+00,3.653368203010000093e-01,1.406179609242999895e+00,4.101047913679999879e-01,-2.107921508111200026e+01
7.511730169179999805e-01,3.257876257659999997e+00,1.927499267720000020e+00,1.679791307969999981e-01,6.031662493549999615e-01,2.745079420298000006e+00,-2.314024321057599920e+01
5.319649978899999854e-02,3.750211550912999847e+00,2.440576483168999999e+00,2.321717573000000034e-01,1.026977748306999949e+00,1.898902729408999956e+00,-2.445851787619099937e+01
1.756096180729999900e-01,4.842054911235999626e+00,2.442030432974000131e+00,1.179124118309999997e-01,1.421532041564999904e+00,1.082811986632000067e+00,-2.065519880605900127e+01
4.375694989780000155e-01,6.102486402056999992e+00,2.865462595214999908e+00,3.423703762579999865e-01,5.256592904400000377e-01,2.758784918118000196e+00,-2.408536375878200175e+01
4.762011775189999851e-01,4.089607752741000191e+00,2.173665642211000115e+00,1.089133794400000063e-02,7.777181533789999657e-01,2.526335048670000027e+00,-2.061672289904599964e+01
7.626854478640000545e-01,3.212656143090999894e+00,1.961982302605999928e+00,1.579070328409999946e-01,6.159193751360000357e-01,2.657379689427000091e+00,-2.340362859151199970e+01
-1.369283696939999906e-01,3.531927373123000091e+00,2.348659313785999903e+00,5.139418621000000319e-03,9.387643854370000263e-01,1.747158086983999992e+00,-2.385447234892799884e+01
5.104882334150000478e-01,3.967143662060999887e+00,2.132365292839999871e+00,1.569737571599999840e-02,1.127165408021999937e+00,1.685768399774000059e+00,-2.041286927484900104e+01
-1.034903808159999966e-01,5.417424695630000286e+00,2.769627770704000014e+00,1.710165023380000038e-01,1.263340653930000057e+00,1.153227378835999906e+00,-1.945006731308500036e+01
-1.052335543599999985e-02,3.898139937372000041e+00,2.304506995472999975e+00,5.715883891000000071e-03,1.433487942468000043e+00,4.772085278379999962e-01,-2.322511697997299862e+01
1.164175418611000046e+00,3.444735056074000212e+00,1.703673190396999937e+00,1.307129434700000058e-02,1.140591878888999933e+00,1.996292983246999997e+00,-2.303252921335500147e+01
5.805696497099999825e-02,3.796674741499999950e+00,2.161517314492999997e+00,9.338088868999999681e-02,1.305471815640000033e+00,1.158167392150000058e-01,-2.249906419416700132e+01
1.012247038541999933e+00,3.556043811527000109e+00,1.825157280403000071e+00,1.471853099669999942e-01,1.169990505834000105e+00,1.634783567299999962e+00,-2.360584680959599879e+01
2.443620860750000123e-01,5.835724102170000371e+00,2.782988028476999887e+00,3.033315014399999843e-01,5.030239596529999524e-01,2.920062122856000197e+00,-2.412971184915700107e+01
1.210882167257999908e+00,3.627515145158000109e+00,1.632069019018000056e+00,1.138316679879999987e-01,9.028216867330000062e-01,2.580001104767000175e+00,-2.499276182686499936e+01
-3.943641288599999961e-02,4.988768223873999652e+00,2.694827551861000092e+00,1.947932352199999856e-02,1.532052802568000027e+00,8.421849352279999756e-01,-2.378466414028899933e+01
-8.652653833600000566e-02,4.041279626315000151e+00,2.217968417545999937e+00,3.772195710299999782e-02,1.220138326652999927e+00,1.313428634861000033e+00,-2.048110868899799897e+01
3.109096649379999855e-01,4.304541533366999850e+00,2.258285918476000020e+00,1.690941278460000030e-01,1.078756893105000003e+00,1.569097446300999898e+00,-2.113757292049900016e+01
4.380903343300000113e-02,4.112990718275000290e+00,2.201901134572000096e+00,1.146528380449999968e-01,1.379420436796999994e+00,1.012883024006000054e+00,-2.059543964810600158e+01
2.898788575500000145e-02,4.542534833770999647e+00,2.575879943249999915e+00,9.886643291499999653e-02,9.067740661199999996e-01,2.052200402842999871e+00,-2.053596037083000070e+01
1.178180723200999980e+00,2.871687253468000023e+00,1.424613032137999946e+00,8.379582142499999997e-02,9.443388770630000151e-01,2.190419991724000148e+00,-2.408950520433300113e+01
-3.346354317129999756e-01,5.062114554168999803e+00,2.907970281153999803e+00,1.957614809300000161e-02,1.404952796721000041e+00,6.964425875540000144e-01,-2.078150637129800060e+01
2.187255619060000100e-01,3.641925478745000166e+00,2.033531335348000013e+00,6.301332544000000195e-03,9.521235103640000030e-01,1.612112683000999969e+00,-2.565775895543600171e+01
4.271248107060000021e-01,5.850887664134000410e+00,2.803858681111000006e+00,3.618167114440000165e-01,5.978130186729999629e-01,2.583129758570000156e+00,-2.247786196794999825e+01
