# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
4.681231894269999860e-01,3.796053503911999805e+00,2.286919177964000127e+00,1.891760992850000100e-01,9.723457585879999865e-01,4.144208535969999829e+00,-1.581814657011699943e+01
3.413510115239999920e-01,4.489776116363000114e+00,2.397826670215000178e+00,4.869231397389999771e-01,1.214982418868000069e+00,3.647146677200999942e+00,-1.650344593754200062e+01
-2.941802703479999836e-01,4.052240924480000395e+00,2.950090138819000174e+00,3.370583089559999745e-01,2.450436137536999848e+00,3.285242762658000082e+00,-2.554545277754699839e+01
2.963167172810000083e-01,4.986358170255999589e+00,2.581741831526000119e+00,5.494607100899999708e-01,1.684060282012000087e+00,4.062254448024000375e+00,-1.596912610382799969e+01
1.059168369922999897e+00,5.348967623956999873e+00,2.353377529528000167e+00,2.868506757120000139e-01,1.154508042345999907e+00,4.201561328629000336e+00,-1.747034934171700016e+01
9.019620201519999991e-01,3.686838423600999892e+00,2.129094037443000076e+00,2.273985637869999910e-01,3.531297738940000208e-01,3.867158226173999847e+00,-1.678292964137699883e+01
5.931419706180000029e-01,4.078784170465000081e+00,2.283514919126000020e+00,6.077165686500000247e-02,8.789996102139999712e-01,4.095726680828000177e+00,-1.709848592547700008e+01
5.788102076519999750e-01,5.860722223096000327e+00,2.767663277575000080e+00,1.678895229179999948e-01,1.465787024733000043e+00,4.444757591235999783e+00,-1.654836769915500128e+01
-2.507842069999999951e-02,6.256036603819000064e+00,3.014169038133999834e+00,2.518210263149999739e-01,1.703889313307000108e+00,4.123823375670999880e+00,-1.794170383366499877e+01
5.390392799859999862e-01,4.600795524095000033e+00,2.513345949632999954e+00,6.588709937999999433e-02,9.997352769599999744e-01,4.318694566563999970e+00,-1.614043334176399824e+01
4.102551243729999908e-01,5.210172069328000255e+00,2.504318991223999813e+00,5.238116117850000197e-01,1.525828476290999935e+00,3.788564087317999984e+00,-1.562289598700600024e+01
7.080377177590000404e-01,5.960261613760000188e+00,2.679488687765999799e+00,2.842949320770000177e-01,8.895075989389999993e-01,4.134075766396000162e+00,-1.736578703256400047e+01
-1.762328366650000033e-01,6.471186339389999986e+00,3.469716049048999995e+00,5.199650810470000106e-01,1.248521112791000087e+00,3.436582029839999830e+00,-1.924412000327199834e+01
3.527402104360000124e-01,4.587250917026000074e+00,2.614595937604999865e+00,1.142756457720000007e-01,1.744406708539000039e+00,3.926404249494999998e+00,-1.557257399836399969e+01
6.497641749429999836e-01,5.493628618747999681e+00,2.597836741742999944e+00,1.591052774729999897e-01,1.556479560712000110e+00,3.906179605135000177e+00,-1.549180064242499988e+01
7.570879874499999995e-02,8.041292538296000103e+00,3.120054476607999838e+00,8.244010749269999883e-01,5.293016663690000012e-01,3.622692656582000126e+00,-1.556499877673100052e+01
6.500437887550000182e-01,4.860187919606000051e+00,2.261744531829999794e+00,5.878353264160000036e-01,1.674534064528000021e+00,3.509306112098999897e+00,-1.630534247185899943e+01
7.505900733910000344e-01,5.862624307079999930e+00,2.437022843808000161e+00,2.986770207710000014e-01,1.541189199084000094e+00,4.002948512612999998e+00,-1.719452010076799908e+01
5.549868603700000014e-01,4.712412140089999646e+00,2.440875910004999927e+00,1.081672191020000007e-01,8.809939144880000184e-01,4.355888513657999894e+00,-1.486362720802300075e+01
4.035365740960000225e-01,5.056507398906999740e+00,2.475789794674999822e+00,5.614803676349999773e-01,1.755630899345999918e+00,3.742035516135000073e+00,-1.621450550271000068e+01
5.535674117109999903e-01,4.779339368675000088e+00,2.497916561254000190e+00,3.863693222449999798e-01,1.047097630537999979e+00,4.038161686213999957e+00,-1.559946119670000009e+01
7.069891286280000076e-01,4.954134493234000125e+00,2.307407606073000217e+00,2.235932971679999992e-01,3.162871898469999943e-01,4.256053705100000251e+00,-1.679252863194300005e+01
7.337410281599999751e-01,4.292605559290000095e+00,2.368571283380000114e+00,5.026176026000000324e-02,1.642305193419999920e+00,4.466130796707999728e+00,-1.452760624971899972e+01
9.510854744579999576e-01,4.648315602631000409e+00,2.330801635510999947e+00,1.602489080139999911e-01,5.672772883100000302e-02,4.392770490359000135e+00,-1.574427858688200033e+01
4.375465996799999813e-01,5.843659795639999821e+00,2.670965887707000164e+00,1.906272348190000132e-01,1.467999965770999893e+00,4.009434651291000407e+00,-1.604141548306100162e+01
9.615214480139999687e-01,3.933453950621999873e+00,2.034301999616999979e+00,2.547310039910000157e-01,9.160762346190000072e-01,4.215183020246000112e+00,-1.699707838741500154e+01
-1.906351896880000008e-01,3.770324388811999938e+00,2.911512944631999833e+00,2.105477181229999939e-01,2.037174292133999920e+00,3.790383808322999926e+00,-1.992299691236700099e+01
4.418852960460000201e-01,4.746737414015999690e+00,2.444144586188000012e+00,8.490977147599999830e-02,9.736738613709999823e-01,4.117762460870999952e+00,-1.521922897703199951e+01
4.727779088230000260e-01,4.089654915890999831e+00,2.348477475197999986e+00,4.599470575999999727e-02,1.553060328384999966e+00,4.236843485039000434e+00,-1.436729960067300027e+01
1.048860423639000006e+00,5.565899474879000053e+00,2.498887191146999864e+00,3.853712375510000010e-01,1.268837739160999956e+00,4.278398817378000096e+00,-1.929382603137199936e+01
3.999225382039999777e-01,6.085267405876000346e+00,2.788046078477000034e+00,5.402684407359999996e-01,1.916580556842000016e+00,3.622592727784999855e+00,-1.486998911856499994e+01
4.714069076269999936e-01,3.652666659022000051e+00,2.182809979933999944e+00,1.089873707379999945e-01,1.617075081117999913e+00,4.171618469628000092e+00,-1.546227748776099986e+01
8.012523975349999938e-01,6.066205818714999864e+00,2.639499573181999903e+00,2.421740545099999864e-02,1.710593638465000010e+00,4.506395038275999632e+00,-1.690779505736700017e+01
2.205470943500000003e-01,5.008269564228999826e+00,2.698893856110999856e+00,4.534078876059999819e-01,1.578046593947000087e+00,3.860617505592999876e+00,-1.511942078079399998e+01
5.956564644849999812e-01,5.069949393545000405e+00,2.606277279107000133e+00,5.198712547599999845e-02,6.541518817200000502e-01,4.487577845970999846e+00,-1.660663782090200158e+01
4.274162087339999916e-01,5.872222222689000404e+00,2.779389896007999905e+00,2.260241034959999951e-01,1.581181752138999919e+00,4.150456243894000252e+00,-1.570555165055399982e+01
6.363045771359999714e-01,4.904239612679999638e+00,2.506440588845999962e+00,7.499749229499999559e-02,6.790861479219999497e-01,4.298240877059000375e+00,-1.481668428449900077e+01
7.267338279920000366e-01,5.024017755318999967e+00,2.260973380445999936e+00,5.873995610869999773e-01,1.706287149677000015e+00,4.069581887846999813e+00,-1.639411790284500015e+01
6.890227071910000056e-01,5.976674943245999572e+00,2.547540424678000015e+00,6.891768037959999926e-01,1.884709281991000074e+00,3.655211685693999790e+00,-1.588796159001100072e+01
4.361300453770000085e-01,4.672577923200999628e+00,2.620085212120999874e+00,2.723581991419999904e-01,1.013335588996999936e+00,3.687322595204999942e+00,-1.817384061348399982e+01
1.485183309960000086e-01,7.636869759709999705e+00,3.158536280711000011e+00,6.272374165240000021e-01,1.368151765618000004e+00,3.857758315452000097e+00,-1.582887105819400020e+01
6.648156050900000391e-01,4.267895034713999891e+00,2.412967648094999973e+00,4.740011618589999864e-01,9.649946438700000018e-01,3.720469284482000205e+00,-1.724243327676400028e+01
9.143349011470000010e-01,5.561011988969999820e+00,2.439640485875000042e+00,2.901434206649999847e-01,2.360493302188999998e+00,4.354588979040999952e+00,-1.785054134581600138e+01
5.265590144909999548e-01,5.719978450892999611e+00,2.773296592441000019e+00,9.725761445000000172e-02,8.781597711070000534e-01,4.305939552157999728e+00,-1.544080600967899919e+01
2.725855571779999820e-01,5.620114994088999616e+00,2.705976157450999953e+00,4.561176926450000169e-01,1.055609833564000066e+00,3.599747176771999957e+00,-1.692638255144400006e+01
1.386490813580000037e+00,4.734807991531999605e+00,2.200055588174000043e+00,1.017987352409999990e-01,1.305431997211000006e+00,4.557752015062000339e+00,-1.972184652536099847e+01
3.600936234859999918e-01,4.751649114509000071e+00,2.600763953910000037e+00,3.786207630249999734e-01,1.465624363202999936e+00,3.996990901561999987e+00,-1.589624541041800043e+01
2.094575657080000042e-01,4.410775437407999711e+00,2.560586317810999990e+00,1.410530047209999915e-01,1.691903932948999989e+00,4.139914186242999783e+00,-1.630907903692299854e+01
1.059414240925999895e+00,5.200127523512000138e+00,2.262671620402000094e+00,9.296716470000000732e-03,6.491085975200000524e-01,4.350395392255999916e+00,-1.693670924820400003e+01
-1.029506968799999943e-02,5.224820041753999611e+00,3.013266703909999844e+00,7.421045771499999721e-02,3.865421992999999723e-02,4.033838464088000286e+00,-1.752571757139600095e+01
6.362703101140000372e-01,4.537876747600999572e+00,2.425423807969000034e+00,7.373301124200000445e-02,8.729839899560000172e-01,4.206603503881000350e+00,-1.533981821026799963e+01
6.478801803370000112e-01,4.137166487394000391e+00,2.183667448055000015e+00,5.491046948469999744e-01,2.174149939077000049e+00,3.674389104523000160e+00,-1.539220772380000035e+01
-7.177441755800000045e-02,7.065636631329000217e+00,3.408949341517999887e+00,5.989667231840000161e-01,1.442280303358000060e+00,3.699492140924999894e+00,-1.632013936090600126e+01
2.253736385750000071e-01,4.326349582896999557e+00,2.447854456935000034e+00,1.333606083589999880e-01,1.408042839759999998e+00,4.182666448109999990e+00,-1.733611143126299936e+01
1.007060671379999967e-01,4.199531171797000084e+00,2.781755276459000115e+00,3.720842939999999960e-03,1.005168872145000059e+00,4.221002374056999962e+00,-1.793119504907100037e+01
4.734925492359999821e-01,5.844405550243999770e+00,2.666977740817999987e+00,4.667252332749999844e-01,7.200007797799999887e-01,3.710054063209000219e+00,-1.468665394742500041e+01
5.865893708830000053e-01,4.279102868368999779e+00,2.392424390732999839e+00,4.179805072630000118e-01,1.217372830041000054e+00,3.881964361226000193e+00,-1.605009886194299895e+01
2.082818518179999911e-01,5.527965917960999676e+00,2.732271075353999823e+00,2.299638575859999923e-01,2.430617036948000020e+00,3.728631235643999897e+00,-1.682145456625000079e+01
5.566143141389999771e-01,3.962529347428000115e+00,2.174830176498999901e+00,1.207139839760000000e-01,7.889415837869999670e-01,4.456297172158000031e+00,-1.942420625684900060e+01
6.129479882580000094e-01,5.144945762807999756e+00,2.588569888425999999e+00,2.218017991969999936e-01,3.442698572530000223e-01,4.213410766644999583e+00,-1.534270794967200047e+01
6.247864722299999451e-01,5.328061225858999883e+00,2.524862232862000067e+00,3.883530439349999752e-01,1.336267550555999994e+00,4.179318138479000133e+00,-1.358622316930100027e+01
5.719795008960000260e-01,5.172520121979999885e+00,2.531551361880000073e+00,4.226588765620000188e-01,1.045251150359000070e+00,3.885212456100000100e+00,-1.502467364446500042e+01
4.311944181780000274e-01,5.264778115846000084e+00,2.638755743393999875e+00,2.944565637500000041e-02,9.632905608399999764e-01,4.045455338050000016e+00,-1.511714951980600041e+01
9.598549073800000109e-01,4.451873442449000073e+00,2.276401888266999851e+00,3.940892104490000269e-01,1.118430740443999927e+00,4.301180823383999652e+00,-1.697305464034399947e+01
-4.951751370000000152e-03,7.167550673266999794e+00,3.187529675057000134e+00,6.403380006940000424e-01,1.385793824759000037e+00,3.919076558867999882e+00,-1.638797755698200120e+01
9.168734590639999738e-01,5.408259218723999950e+00,2.267229372630000128e+00,4.926715986099999833e-01,1.116141953634999906e+00,3.756510189659000076e+00,-1.684830041484499930e+01
1.441250374501999998e+00,3.497098199004999852e+00,2.012329205447000113e+00,8.174342711099999437e-02,1.015012428266000022e+00,4.508473215403999923e+00,-2.051844435280199974e+01
5.119686688610000092e-01,4.086140827513999874e+00,2.327066699555000007e+00,4.184084828540000078e-01,2.437144268392999802e+00,3.633049274035999865e+00,-1.625146849957300077e+01
1.031368799560000021e-01,3.835410522840000169e+00,2.282209103875000089e+00,1.271245284870000103e-01,1.269724552458000089e+00,4.096343325950999592e+00,-2.029493353563799829e+01
1.090880037228000088e+00,4.136246405109000435e+00,2.181903922193999978e+00,4.079978121480000164e-01,4.393060104000000021e-01,4.070378300659999837e+00,-1.888211772246900111e+01
6.878322660229999608e-01,4.224587263462000308e+00,2.366909307649000205e+00,6.437031505999999889e-03,3.662750228659999996e-01,4.302135333570999975e+00,-1.602948962370799890e+01
5.975354662370000458e-01,5.118742842205000088e+00,2.619992540544000104e+00,1.541429244979999891e-01,1.159073429301999969e+00,4.107237211020000167e+00,-1.575581324470899958e+01
3.091489393929999774e-01,4.699249973288000426e+00,2.628749509417000141e+00,1.762742971740000053e-01,1.083506238900999952e+00,3.993742688374000149e+00,-1.511566252894300000e+01
8.085979316010000195e-01,3.421645971418000087e+00,2.193283073706000064e+00,1.076646981239999940e-01,1.555832072279000000e+00,3.984914949470999890e+00,-1.998343790417699850e+01
3.359480432149999918e-01,5.035520926036999967e+00,2.644545541640999975e+00,1.320531818219999876e-01,7.788671901150000521e-01,4.205263505905000088e+00,-1.463287262946700018e+01
4.368047644379999817e-01,4.662164609133999882e+00,2.501237023827000083e+00,3.563195588190000151e-01,9.864906543279999829e-01,4.022682365535000137e+00,-1.512427922254700086e+01
6.646805654859999635e-01,5.005779816939999627e+00,2.466467403962000038e+00,3.064459660830000098e-01,6.313707620940000043e-01,4.006979735769999884e+00,-1.531459113758399937e+01
3.266155854760000032e-01,3.285725107036999937e+00,2.208751393730000068e+00,1.460803529030000047e-01,1.299706945077000020e+00,4.478722212839000072e+00,-1.943819612458799995e+01
9.158334277880000318e-01,4.940474435002999876e+00,2.321464655948000111e+00,2.714972984699999883e-02,5.053354793550000057e-01,4.294115178470000238e+00,-1.664135226273900159e+01
6.905993119359999932e-01,4.852333150805000272e+00,2.511859972952999787e+00,2.318027320250000134e-01,1.457280184865999972e+00,4.380868198905999655e+00,-1.693002060849499912e+01
2.563304066529999981e-01,7.650028441945999624e+00,2.717185507442999803e+00,9.741926802550000541e-01,3.102180940429999922e-01,3.773908278379999981e+00,-1.838640767880599824e+01
3.955057254100000086e-01,7.591141290574999978e+00,2.716849878402999963e+00,9.644025937250000347e-01,3.061238947780000053e-01,3.319140751287999791e+00,-1.787766561870800075e+01
7.295989469000000449e-01,3.992745071603000184e+00,2.283335842980000141e+00,4.566774692180000095e-01,2.458855099972999891e+00,3.709874944521000195e+00,-1.739476042752299989e+01
2.009991223869999899e-01,7.568439086218999634e+00,2.961980550052000005e+00,9.519766977910000261e-01,1.899281863460000053e-01,3.646408758893000090e+00,-1.559757103098599984e+01
2.070800323420000089e-01,3.614030720720000200e+00,2.348936197573999962e+00,2.148518621409999940e-01,1.262845370313999904e+00,4.402381217419000237e+00,-1.986096166722899881e+01
7.149464146470000392e-01,5.009270307345000006e+00,2.413025689823999897e+00,2.614594402800000106e-01,1.533989023413999897e+00,4.122325251562999782e+00,-1.534857400889399948e+01
4.501405241620000108e-01,4.721060782414999935e+00,2.438821453666999872e+00,2.043364953100000048e-01,1.954679068500000116e-01,4.066190577319000354e+00,-1.633286392985700175e+01
7.941945650539999901e-01,4.567726494980999696e+00,2.334609819613000070e+00,3.039046820210000166e-01,2.062846080469999954e-01,3.862559068880000002e+00,-1.666703849991800013e+01
4.660580201660000088e-01,4.321817031890000216e+00,2.338642901700000110e+00,9.696759507699999336e-02,2.168186559180000084e-01,3.837408594338000078e+00,-1.954039977563800079e+01
4.147288862199999954e-02,7.218995366890999854e+00,2.907035796859999799e+00,9.290653322049999829e-01,3.107101145460000047e-01,3.332414067068000030e+00,-1.508677790816799913e+01
5.823343670210000544e-01,5.084605698745000346e+00,2.488987083526000177e+00,1.906242573930000128e-01,1.329330481278000020e+00,4.470473077238000137e+00,-1.546658513696599968e+01
