# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
-2.905225865980000099e-01,4.136666548654000408e+00,2.564843298323999932e+00,5.622685798869999640e-01,1.302295811211999998e+00,1.552899362969999975e-01,-2.385867180505999841e+01
1.021366768690000065e-01,6.040325432950999662e+00,2.638814239309999810e+00,7.144351625949999507e-01,1.048906990372999948e+00,1.623276117155999954e+00,-2.446568756334299977e+01
2.038508727199999926e-01,4.121872118380999872e+00,2.037099438579999866e+00,9.323564204299999991e-02,1.349725963827000053e+00,1.125852841399000104e+00,-2.230771088178800099e+01
2.080549720647999923e+00,3.102751261083999790e+00,1.612829982230000070e+00,3.041521726879999887e-01,8.984179635929999685e-01,2.475342609540999828e+00,-2.785998079356900092e+01
-2.812097080370000168e-01,5.301598691026000232e+00,2.875891643812999998e+00,5.408892541130000398e-01,1.436080175035999940e+00,4.054267186730000083e-01,-2.244586549051399871e+01
1.842865922799999945e-01,4.766412457538000247e+00,2.166758035658999937e+00,1.110467446739999975e-01,1.508197532120999940e+00,4.200357947239999890e-01,-2.512472380547000128e+01
1.082133814220999968e+00,3.768728842797000045e+00,2.083277844154999947e+00,2.376186979209999883e-01,7.835074930990000297e-01,2.623689380892999967e+00,-2.650132543846200051e+01
7.837591666700000070e-02,5.341673577661000039e+00,2.375972013504000113e+00,1.365243268670000010e-01,1.377098426224000027e+00,9.507144462879999480e-01,-2.442424283207600055e+01
1.824021159799999944e-02,4.718007085535999678e+00,2.387237965215999846e+00,5.422278197299999769e-02,1.506278402029000096e+00,1.092500238580000005e+00,-2.358700826960399866e+01
3.338165575040000221e-01,4.891526562144999701e+00,2.738967094861000096e+00,1.515767245819999998e-01,1.164860184726999925e+00,1.565857251981999987e+00,-2.736626167250799924e+01
-2.540777709709999832e-01,6.898888872019999674e+00,3.032053599945999878e+00,8.272893020999999569e-01,1.592830274845999927e+00,6.575241709200000395e-01,-2.404602148798399952e+01
4.141897073090000103e-01,4.390177296924999695e+00,2.192932548214999944e+00,1.564116107200000036e-02,1.361558468426999902e+00,1.297631859231000107e+00,-2.359613718528200010e+01
