# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
6.562628697619999896e-01,5.367985804315000387e+00,2.453354520072000167e+00,3.678274894700000325e-02,1.161370596079999984e-01,4.165265294159000042e+00,-1.609690968786799914e+01
9.576212212810000235e-01,5.272610746642000024e+00,2.228056675467000147e+00,5.467882694310000069e-01,4.406218694190000007e-01,4.047267851395999649e+00,-1.762012260737899894e+01
5.361322236009999909e-01,4.764451125859999969e+00,2.475939333493000216e+00,2.204835775729999947e-01,8.591444441650000208e-01,4.082095650723999825e+00,-1.547088567143100057e+01
7.592425065850000321e-01,3.623351033827999945e+00,2.132724797168000119e+00,2.364249366810000086e-01,6.911787087049999778e-01,4.188999476042000403e+00,-1.885456227771100046e+01
4.619974248979999976e-01,6.156152249859999870e+00,2.788644642856000111e+00,1.412122812999999991e-02,1.029483640709000003e+00,3.667898428362999841e+00,-1.653080996575599926e+01
6.801858902130000217e-01,4.925592121761000364e+00,2.510198078300999835e+00,1.313197182689999909e-01,1.062505428589000100e+00,3.878882965429999885e+00,-1.407231492489199987e+01
7.402043953279999755e-01,4.105001590347000295e+00,2.114923563876999868e+00,1.878162833710000090e-01,1.382316507252999926e+00,3.933489477369000120e+00,-1.638484012889599839e+01
1.083922600379999990e+00,5.004960441534000104e+00,2.262467837502999846e+00,6.736336321800000249e-02,5.904528505289999840e-01,4.233047775329000117e+00,-1.777731408840899974e+01
6.723327417519999738e-01,4.668271808565999770e+00,2.383082994791999809e+00,3.617290690850000212e-01,1.697899086295999949e+00,4.217955061530999750e+00,-1.622030060128799889e+01
1.631740538122999906e+00,4.016155281687000311e+00,1.908621935381999979e+00,1.028188117509999944e-01,3.076921943408999827e+00,4.193291137076999853e+00,-1.874385429110699874e+01
5.735706589229999652e-01,5.826684397814999805e+00,2.583349702050000030e+00,1.825097709719999961e-01,9.334342878429999768e-01,3.970556276792000183e+00,-1.609089535662300108e+01
3.440809838339999871e-01,5.156200657075999949e+00,2.538047150515000183e+00,1.401470916770000130e-01,1.328181004534999987e+00,3.969872053486999786e+00,-1.617556150865100051e+01
4.955908986979999931e-01,5.054778270752000147e+00,2.440916828872000011e+00,4.372413393549999805e-01,9.420709330240000234e-01,3.804185490506000189e+00,-1.522367893741200007e+01
5.191368673880000228e-01,4.820586337168999869e+00,2.428526195254999909e+00,5.218677976490000425e-01,7.675737438990000161e-01,3.499069414151999791e+00,-1.518208423300599996e+01
6.410093778840000311e-01,6.694651319133999579e+00,2.774085923564999945e+00,3.118078837370000245e-01,1.841283014542000052e+00,4.396068659511000121e+00,-1.783199129355099899e+01
5.807275690969999626e-01,5.651781448050000378e+00,2.602632643595999884e+00,2.475445158250000055e-01,5.405291860669999560e-01,3.641448965537000149e+00,-1.614927473269600000e+01
5.250166354280000336e-01,4.801574245923999840e+00,2.294174411381999956e+00,3.862460561300000150e-01,1.377085659680000074e+00,4.177965255851000315e+00,-1.685053174263400066e+01
7.015289521569999520e-01,4.400571143688999598e+00,2.350144026616999948e+00,4.288516456500000157e-02,1.736858063336000013e+00,4.112227895494999785e+00,-1.394218099669699917e+01
4.479567696069999827e-01,4.993560251246999648e+00,2.547931731925999976e+00,1.674565198359999896e-01,1.294201279307999997e+00,3.387581712787000043e+00,-2.005978037767799904e+01
3.553075928059999944e-01,4.900009326856999969e+00,2.626513808332000099e+00,3.497537837560000251e-01,2.052070356444000154e+00,4.342411650610999985e+00,-1.740202898008600130e+01
5.548960134839999725e-01,4.183249867187000426e+00,2.388651990561999838e+00,1.557163062759999994e-01,5.021450771809999880e-01,3.949210024236999850e+00,-1.721101307112499867e+01
1.170853430755000035e+00,3.763113153073000205e+00,1.930250675841000074e+00,3.249238132560000047e-01,2.181586103713000213e+00,4.073273907345999589e+00,-1.705481942013599905e+01
6.207052459720000526e-01,4.193167916161000264e+00,2.281879318602999973e+00,9.102587228099999483e-02,1.188661113106000089e+00,4.042093314082999989e+00,-1.557224791790100049e+01
5.588525112269999706e-01,4.846284867590999745e+00,2.283554945482999976e+00,5.038798806069999525e-01,1.031342024093000020e+00,3.697592928007999991e+00,-1.566241543742600051e+01
1.009829991496999924e+00,5.630828299835999751e+00,2.478458543028000172e+00,3.607429788190000264e-01,1.840859273211999936e+00,4.042512147444999648e+00,-1.789030667621500115e+01
8.839488507299999576e-01,4.206664012177999901e+00,2.254575996379999836e+00,3.559745881770000064e-01,2.791303763879999789e-01,3.704029567224000008e+00,-1.839055270071299830e+01
2.784342166379999983e-01,5.659727005946000311e+00,2.484144150970000187e+00,4.890898083210000191e-01,6.583129426439999765e-01,3.970043003668000114e+00,-2.112500948876800067e+01
1.062965748322999948e+00,4.047630083179999616e+00,2.050752831177999891e+00,1.739694278480000134e-01,1.326123000454999978e+00,3.780659125435999801e+00,-1.786037999075299965e+01
4.743599468010000209e-01,4.996806730857000112e+00,2.575356044755999996e+00,3.649672917299999764e-01,1.887791980086999999e+00,3.701531262597999916e+00,-1.574831026017599989e+01
5.387916018270000329e-01,4.660429177805999856e+00,2.352283562584000176e+00,4.801749370910000092e-01,1.279263033486000012e+00,3.884592805502999902e+00,-1.611806192243799885e+01
1.125739363179000030e+00,4.651049893174000083e+00,2.003045116093999933e+00,5.049535873279999976e-01,2.015933155059999871e-01,3.594061315026999992e+00,-1.573688693266799987e+01
3.907253036950000258e-01,4.728528288190999795e+00,2.611144357237999980e+00,1.288592475850000030e-01,1.428732373934999966e+00,3.923987553184999921e+00,-1.650848079582999972e+01
2.060290566259999900e-01,4.194140339575000098e+00,2.487138037475999930e+00,2.864644533480000255e-01,1.022159466328000033e+00,3.565380358026999819e+00,-1.930301995385000069e+01
4.271866750769999777e-01,4.460939671446999988e+00,2.369676560214000194e+00,1.609664961149999962e-01,1.488357877607999979e+00,3.934059655084999996e+00,-1.605304600316500085e+01
5.077109694529999828e-01,5.947066397772999835e+00,2.760589842972999808e+00,1.385811642900000064e-02,1.135851929928999970e+00,3.664851721718000110e+00,-1.756154287263199976e+01
6.671468732209999697e-01,5.068877842412000234e+00,2.392915337194000180e+00,4.770649172170000063e-01,7.899488181260000408e-01,3.760772223078999943e+00,-1.669746782841000154e+01
1.045103515872999989e+00,4.827502549597999959e+00,2.198406157641000114e+00,1.805698262490000039e-01,1.838631622634000040e+00,3.824148840976000052e+00,-1.713307748530500163e+01
2.384952270800000107e-01,3.512262101011999871e+00,2.113627103416999997e+00,2.346787230690000059e-01,5.388274010629999777e-01,3.808220415506000212e+00,-2.050329462609199993e+01
6.237702416910000380e-01,6.894600291627000388e+00,2.655714522744999861e+00,1.025378467740000049e-01,3.596861000282999932e+00,4.341611585787999772e+00,-1.875201102314199986e+01
5.705251463480000007e-01,6.131427716170000153e+00,2.598633426291999893e+00,5.659963147680000528e-01,5.475998630980000170e-01,3.836270779397000119e+00,-1.659434291139899997e+01
7.117878761979999913e-01,6.628105826252999933e+00,2.617553338035000010e+00,2.965750559840000244e-01,8.702015644959999463e-01,3.939638211171000215e+00,-1.722871152869700140e+01
1.049515959589000014e+00,5.459471194694000218e+00,2.337328533667000219e+00,2.077890162909999949e-01,2.836950356918999994e+00,3.612874959552000220e+00,-1.812115396394100131e+01
3.932545749820000047e-01,5.494720263313999986e+00,2.721226560520999982e+00,2.172767628189999911e-01,2.294320096047000046e+00,3.587691268396000055e+00,-1.692830516027699872e+01
8.376727211850000243e-01,6.150625281884000373e+00,2.548912748974999865e+00,3.477038127179999938e-01,1.982459232017000028e+00,4.162890891133000260e+00,-1.763882139775899915e+01
9.390693022080000008e-01,5.672510257893000230e+00,2.517569946594000019e+00,1.765467528030000011e-01,2.742112525646000165e+00,3.806429305943999974e+00,-1.805415725761400125e+01
4.667241950959999941e-01,4.795565729127000409e+00,2.536451099371999973e+00,2.217165971810000080e-01,2.308445350781000105e+00,4.289341332761000380e+00,-1.596655642544600084e+01
8.612848797240000298e-01,4.793127708445999779e+00,2.283181397703999860e+00,3.922946516249999904e-01,1.839559180303999897e+00,4.021234559665000319e+00,-1.593259507241000072e+01
2.558392804269999932e-01,3.861868250795000179e+00,2.544195442273999852e+00,1.383867652299999862e-01,9.514838762030000119e-01,3.808052523690999891e+00,-1.869161386908200129e+01
5.098178728250000180e-01,4.581043224700000138e+00,2.418621180344000088e+00,8.529780022400000605e-02,1.510422984867000107e+00,4.050419446498000120e+00,-1.638962280967299989e+01
7.036188384189999701e-01,5.708159153692999865e+00,2.509547579184999933e+00,2.811900409670000101e-01,3.083999541493000152e+00,4.007105855395000304e+00,-1.587662650209600024e+01
5.619365331590000512e-01,4.947060297061000256e+00,2.420050628830999973e+00,2.470819337819999961e-01,6.580039673709999759e-01,4.152197539466000009e+00,-1.573636433304899995e+01
1.830898014139999974e-01,4.225223923018000427e+00,2.456680840793000087e+00,1.860355560070000025e-01,1.027265506767000014e+00,3.571538881333999882e+00,-1.908279133402200145e+01
1.899391659438000035e+00,4.283372188152999804e+00,1.936867168288999963e+00,1.120392291659999956e-01,2.712592196695999824e+00,4.249635591815000168e+00,-1.864915739988699883e+01
8.775455851079999592e-01,5.157951594671000173e+00,2.431000030592000094e+00,2.015689873300000046e-02,1.201576817090999949e+00,4.272548990764000187e+00,-1.650576738535999866e+01
5.082884527650000095e-01,4.861054200724000296e+00,2.541979521526000152e+00,1.796718527039999902e-01,1.006654544722000111e+00,4.015809009417999675e+00,-1.606331059003100137e+01
9.681961801520000410e-01,5.599540852136000169e+00,2.318320963711999916e+00,3.589210342570000045e-01,2.255375843047000117e+00,4.161932660859999800e+00,-1.706665566078099872e+01
8.822318143489999986e-01,4.819991917712999729e+00,2.241626356764999883e+00,1.703361510610000018e-01,1.619843413339999982e-01,3.491337052598999957e+00,-1.803206219511200104e+01
5.933390455179999856e-01,5.548292365855999719e+00,2.708249305109999838e+00,2.163158792140000009e-01,9.500548787460000311e-01,3.946393746177999873e+00,-1.755499668885099851e+01
