# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
1.063530181259999957e-01,4.797950042515999769e+00,2.732737165606000218e+00,2.771950100019999752e-01,2.065568502291000197e+00,4.253083880910000225e+00,-1.687621802663100112e+01
3.887157495040000077e-01,5.023515694167000056e+00,2.617686276790000210e+00,2.286840861880000131e-01,1.584047317213999939e+00,4.116416253805000203e+00,-1.461784580239100073e+01
8.926036546850000253e-01,4.242216011357999861e+00,2.320642633698999813e+00,4.590169851700000303e-02,4.270350020420000114e-01,4.670076556524000111e+00,-1.518159890519599919e+01
4.482086415359999854e-01,5.301793001757999946e+00,2.587711472611999852e+00,3.358412124799999843e-01,6.948770678319999838e-01,4.390811429492999629e+00,-1.611509870601100047e+01
4.456089829500000099e-01,5.096416150269000411e+00,2.660254430835999884e+00,1.782146922270000100e-01,1.397901597079999891e-01,4.439322202033999964e+00,-1.501225755691699959e+01
1.176609759513000064e+00,3.190018385400000156e+00,1.847849694246000096e+00,9.943110028599999595e-02,1.184547083223999930e+00,4.546856587147000361e+00,-1.732573022752299963e+01
1.025257804231000103e+00,4.693571452998999582e+00,2.325213285762000037e+00,9.235643863699999345e-02,3.710227359600000163e-01,4.590472700720000354e+00,-1.495616139073900008e+01
7.725724742609999529e-01,3.665761579644999824e+00,2.198489614006000181e+00,3.647697066080000106e-01,1.993732053398000081e+00,4.156067913944999859e+00,-1.560221404736100048e+01
7.773138982060000535e-01,5.455858540149000291e+00,2.599450255444999858e+00,3.839480117190000041e-01,6.984023678240000033e-01,4.340708941621000072e+00,-1.554621966775800068e+01
9.187915683509999543e-01,4.065318892717000310e+00,1.987535495131000030e+00,3.264050935800000275e-01,3.925026100530000228e-01,3.847073717294000161e+00,-1.850025425106699828e+01
5.814133098379999920e-01,4.036582890405999713e+00,2.336214649124999987e+00,3.727221146849999944e-01,1.147851839599999951e-01,4.404603234089999653e+00,-1.456697699600099938e+01
4.278547343510000212e-01,3.540473262254999920e+00,2.257033220527000061e+00,2.005677402199999848e-02,1.358004815009999922e+00,4.185739467920000401e+00,-1.417942341406500084e+01
6.726632492959999654e-01,4.882413241050000074e+00,2.605222365447999788e+00,2.155539604820000121e-01,1.522586511062999914e+00,4.090391948124000088e+00,-1.460096076165699941e+01
5.639872436489999918e-01,4.417123489256000290e+00,2.410710551050000205e+00,2.902368633349999838e-01,1.630342994073999963e+00,4.297815812021999804e+00,-1.362562790990400075e+01
3.900697606240000059e-01,3.602317381128000040e+00,2.271697254436999991e+00,5.333211461299999789e-02,1.344167773539000077e+00,4.324449700029999732e+00,-1.576513309307400057e+01
4.461975769300000061e-01,5.360386995846999625e+00,2.802605699614999946e+00,5.338198080300000231e-02,1.764130479969999998e-01,3.966310045444000121e+00,-1.569644339642800013e+01
8.456780841940000348e-01,4.732569424948000147e+00,2.499902900374999959e+00,1.414010766949999887e-01,8.846959306439999837e-01,4.086867316475999878e+00,-1.534152893355899927e+01
5.461821978849999981e-01,4.292811221514000408e+00,2.405704772937999891e+00,1.125690587050000024e-01,1.528878883229999985e+00,4.497541996593000135e+00,-1.515967221601800041e+01
3.793773943179999941e-01,4.816288124218999656e+00,2.704405794444999955e+00,1.454027911209999913e-01,1.229080357338999896e+00,4.370314768872000322e+00,-1.496766536661399982e+01
