# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
2.528744363220000180e-01,5.243737378958000406e+00,2.450819969232000073e+00,2.697113456929999820e-01,3.353166783539999751e-01,2.563367302332999920e+00,-3.125487696976300001e+01
5.292818647079999828e-01,4.915654677461000155e+00,2.118362229261999907e+00,1.796979631389999943e-01,5.542309679310000181e-01,2.571092415877000104e+00,-3.512929051127699864e+01
6.262565248199999934e-02,5.605639438857999757e+00,2.568962491866999986e+00,2.365183991270000119e-01,7.449418873340000191e-01,2.414621972474999989e+00,-3.062065089795400041e+01
9.208620964989999713e-01,3.541086326308000132e+00,1.734267126165000006e+00,2.261993635990000029e-01,1.820738332674999960e+00,2.635474624831999790e+00,-3.552844352834600272e+01
2.660169751979999941e-01,4.721542452421999769e+00,2.419752536854999914e+00,1.887813748219999976e-01,1.143889875199999961e+00,2.636876448438000065e+00,-3.267157824792599996e+01
7.058959309729999632e-01,3.950130054819000147e+00,1.919008541571999960e+00,1.612613943160000063e-01,2.324779134448000217e+00,2.705339482500999981e+00,-3.331433683460699768e+01
-1.155299109849999978e-01,4.677747091401999846e+00,2.456670117148000099e+00,2.184522285799999908e-01,3.342246527719999749e-01,2.392471875939000014e+00,-3.217264964595899812e+01
-3.786754896200000137e-02,5.197163454871000177e+00,2.549542098646000010e+00,9.119429050300000006e-02,1.516965446719999999e-01,2.616578331317000128e+00,-3.186967871430400123e+01
2.544832016060000202e-01,5.918567630863000417e+00,2.629823400109000175e+00,2.243858477119999861e-01,6.488216080990000245e-01,2.408542903788000178e+00,-3.210070103008700215e+01
3.384317855360000071e-01,4.605961728700999736e+00,2.204892781137000046e+00,1.969072494620000002e-01,2.159656083779999847e+00,2.295558262650000181e+00,-3.483992565246300188e+01
2.002151041709999968e-01,4.110539072153000184e+00,2.252656460878999845e+00,2.478448118859999938e-01,1.641125666528000071e+00,2.445098777883000007e+00,-3.282710254997599719e+01
-4.343519249910000046e-01,4.142146211107999854e+00,2.766104641909000073e+00,2.039541270720000021e-01,2.415130038815000102e+00,2.121293749948999885e+00,-3.504371623830100191e+01
3.308409833190000260e-01,6.074246024557999668e+00,2.629423079661000084e+00,1.962570579300000062e-01,1.590187338368000081e+00,2.630160887070000175e+00,-3.338883038416999938e+01
5.539957825210000131e-01,4.013041992147000414e+00,1.992607186909999939e+00,1.257392091890000008e-01,1.696354165277000003e+00,2.571381255997000181e+00,-3.368135177092300125e+01
-4.694161662520000000e-01,6.016617262907000274e+00,3.174051214178000180e+00,9.279112990799999461e-02,1.458261918837000071e+00,2.260517541977999922e+00,-4.080290623079500278e+01
8.739625197410000323e-01,3.506084660505000006e+00,1.844737310688000065e+00,1.020654889910000002e-01,4.443552326900000043e-02,2.443628966313000195e+00,-3.526150349956299834e+01
-1.216775642949999986e-01,3.475944580818000063e+00,2.123534224903000034e+00,2.930880023990000138e-01,2.259872962506999983e+00,2.304895567866999784e+00,-3.302428135675999954e+01
-2.512220169869999742e-01,5.501740027902999763e+00,2.761305631106000025e+00,3.102602101740000173e-01,6.539890007390000148e-01,2.285528869756999981e+00,-3.232159627618899833e+01
2.131032657400000127e-02,5.149741149353999958e+00,2.458009816091000221e+00,5.190470872500000388e-01,5.134887610310000516e-01,2.095624166282000100e+00,-3.235740908166300045e+01
1.501929539959999949e-01,3.890157959866999970e+00,2.115102476964000111e+00,4.882738257690000250e-01,3.208341266049999918e-01,2.237026205092000009e+00,-3.082806074220300019e+01
1.758353864599999927e-01,4.676961741560000441e+00,2.339668948898999901e+00,2.422262921920000089e-01,1.305119835036000042e+00,2.414072936213000009e+00,-3.308608570637299806e+01
1.683137690669999909e-01,4.700097881499999630e+00,2.329445110985000067e+00,1.944616676099999997e-01,1.397651682293000075e+00,2.365324717458999970e+00,-3.146399329794099842e+01
-1.090676127599999982e-02,6.097402404143999810e+00,2.854371417137000044e+00,1.446717257310000115e-01,9.625539804680000033e-01,2.445940603349999964e+00,-3.165115204629099921e+01
-3.091588212049999895e-01,4.737138549598999937e+00,2.820562651722999803e+00,2.440202662510000120e-01,2.115342802409999834e+00,2.309226338359000152e+00,-3.301653399817600132e+01
-1.318882710160000082e-01,6.486728790954000345e+00,2.835765458925000093e+00,5.687849594560000499e-01,6.380119228570000356e-01,2.205744518253000219e+00,-3.146762409231499902e+01
-2.124335870650000124e-01,4.322603699942000333e+00,2.633432256324999887e+00,2.058511799580000079e-01,6.231010585680000213e-01,2.269018334407999937e+00,-3.292617509235299877e+01
3.579704275250000234e-01,5.046535594577999717e+00,2.481186414284000108e+00,2.245187130319999946e-01,2.008563605167999810e+00,2.544111527814000073e+00,-3.223531107654599737e+01
6.582367061689999854e-01,4.174183952482000137e+00,1.959630239835000065e+00,1.252293494800000018e-01,1.312469243275999897e+00,2.508766034153000035e+00,-3.098747146421300158e+01
-1.625978732299999951e-01,4.871834828106000437e+00,2.760727506652000063e+00,5.123645413159999551e-01,1.640703235337999999e+00,2.162148442361000011e+00,-3.252893428366800066e+01
2.156704631409999962e-01,6.571780645078000305e+00,2.673296082168000076e+00,4.954940627400000047e-02,1.142082273603000075e+00,2.548036833494999875e+00,-3.095352063910999973e+01
2.980810313319999794e-01,5.577205384934999621e+00,2.504903640649999819e+00,1.246128157490000027e-01,1.038411519845999997e+00,2.466507020563000196e+00,-3.345667895066299735e+01
1.290876918480000080e-01,5.865238417501999812e+00,2.668608399875000092e+00,2.826257138780000067e-01,8.771369635289999467e-01,2.530752954415000033e+00,-3.283487984605000065e+01
3.794871379359999741e-01,5.103093816552999762e+00,2.360227705304999812e+00,2.925110487859999830e-01,2.842699456799999830e-02,2.600442697475000120e+00,-3.327437385537700010e+01
-1.881992898079999921e-01,4.152174558450999697e+00,2.491912716801000016e+00,1.778237981380000055e-01,4.633607316180000102e-01,2.562202957877000031e+00,-3.320257877539800262e+01
-8.534691340699999962e-02,5.236596606344999572e+00,2.586275512438999780e+00,6.772693582800000389e-02,1.032946048913000014e+00,2.752173564298999953e+00,-3.398792224323499767e+01
-1.970506476380000094e-01,6.110084161737000308e+00,2.878369989653000172e+00,6.845125933910000127e-01,1.325739543919999930e+00,1.854053751367999991e+00,-3.114083605670300159e+01
-2.352954908110000132e-01,4.433305744456999875e+00,2.634124026957000098e+00,1.823007311429999944e-01,1.840156785348999957e+00,2.324433592635999801e+00,-3.273869227509499780e+01
-6.017555203000000269e-02,4.310200149662000157e+00,2.413305494234000204e+00,2.205316057389999918e-01,5.760619656190000271e-01,2.422955572623000098e+00,-2.932206612489899911e+01
9.262709513300000641e-02,4.873068767677000146e+00,2.512109291545999934e+00,3.064316624580000203e-01,2.241019886095999780e+00,2.426096103617000121e+00,-2.957287686042700159e+01
3.932597665399999859e-02,4.632968256465000323e+00,2.316606358086000128e+00,5.273875269679999533e-01,3.765078212269999947e-01,2.267357499699000023e+00,-3.379384703274399726e+01
-1.893435404140000056e-01,5.336261390948999761e+00,2.552950765454999882e+00,5.040276068179999625e-01,1.414707277073000036e+00,2.259595008264000171e+00,-3.451796453243599672e+01
4.143123929599999977e-01,4.349007553839999929e+00,2.148948029032000218e+00,8.302579458700000414e-02,9.337206764659999880e-01,2.526726579517999838e+00,-3.322261438539700151e+01
-3.620161147000000024e-01,6.869220614430999738e+00,3.118147330396999983e+00,1.669512653299999871e-01,1.285848219470999920e+00,2.419396684239000006e+00,-3.179368285557200124e+01
4.210317654819999977e-01,4.041379426797999663e+00,2.116533018101999897e+00,8.920100218899999767e-02,1.655588828950999902e+00,2.729416986967999836e+00,-3.206191334061900022e+01
6.990306879240000271e-01,5.472440067747999848e+00,2.067157280566000122e+00,5.214727944920000136e-01,1.556848931329999908e-01,2.302032978180000189e+00,-3.291416960743700315e+01
-2.887328068710000029e-01,9.262831375337000850e+00,3.385836948549000081e+00,1.026876153799999997e-02,4.161614253729999935e-01,2.460891522292000033e+00,-3.113787017047900108e+01
1.015954118395000050e+00,4.326160012922000142e+00,1.988285651076999949e+00,1.909112094210000110e-01,8.101456904499999556e-01,2.651000831881999975e+00,-3.316452520085000089e+01
3.325078626869999998e-01,3.889851998352999995e+00,1.997672258026000014e+00,5.595517684100000111e-02,1.363415460818999891e+00,2.442364297638000004e+00,-3.574771688156099714e+01
-1.418558351349999969e-01,4.152252934442000054e+00,2.517802848960999818e+00,1.688838129999999937e-01,4.331872296229999919e-01,2.474488495649000086e+00,-3.367036400260300155e+01
3.890719242630000241e-01,2.746744819504999935e+00,1.251802146544999994e+00,1.594686341909999916e-01,1.296429515081999995e+00,2.376767004731000110e+00,-3.862280547269399733e+01
3.158485104570000201e-01,4.669161747293999909e+00,2.352452196609000179e+00,2.530931977249999965e-01,7.060708625299999541e-02,2.299901881554000216e+00,-3.042340888562100076e+01
4.085983159530000020e-01,3.108149436879000138e+00,1.723361495183999947e+00,4.282776300300000089e-02,8.077183813770000276e-01,2.547622415603000068e+00,-3.610245525640799968e+01
4.154884484560000257e-01,6.281834640350999699e+00,2.616228776569000214e+00,6.716630821400000617e-02,2.613122216942000087e+00,2.651147086507999795e+00,-3.524266693115500004e+01
-1.835954925240000091e-01,5.045850520876999923e+00,2.800294195015000209e+00,2.114207697790000118e-01,1.941680123900000055e-01,2.328663839994999929e+00,-3.261195202282299732e+01
1.988269433740000036e-01,5.555857553561000195e+00,2.401488464973000170e+00,2.756514008390000270e-01,4.186237757999999864e-02,2.342524085577000204e+00,-3.429094775456999855e+01
6.287033583890000443e-01,4.862345760548000051e+00,2.188599264539000000e+00,1.793569434370000104e-01,1.612682923808000046e+00,2.555348005457999783e+00,-3.545682047812400128e+01
7.667145728799999727e-02,5.482645570656999645e+00,2.389746487470000069e+00,3.831831403739999753e-01,7.498803507219999887e-01,2.277907897288999894e+00,-3.594226587888900326e+01
1.430186477360000097e-01,5.815307715290000345e+00,2.736817588415000113e+00,3.015151227360000075e-01,1.046667385936000061e+00,2.168166018193999900e+00,-3.321055113974200168e+01
5.366862816340000064e-01,4.919621735445000255e+00,2.109904709953999813e+00,1.653550641709999880e-01,5.883231196729999946e-01,2.395911469572999941e+00,-3.521310470210200094e+01
2.467256016190000067e-01,5.376457921357999936e+00,2.513059660810999851e+00,1.765226460000000061e-03,8.845063607569999542e-01,2.759289397596000004e+00,-3.158197420327400096e+01
4.757821397049999956e-01,4.286383425667000147e+00,2.217864507433000121e+00,3.633879055220000098e-01,1.930063208880000047e+00,2.404468816669000031e+00,-3.191198130118500131e+01
5.309316556040000190e-01,4.944329316932999596e+00,2.221164620405000178e+00,1.805137917390000069e-01,2.167626546770000107e-01,2.216571453367000011e+00,-3.505388293568100266e+01
-2.502174819999999911e-02,5.379595973097000439e+00,2.746266545996999930e+00,1.994773944140000033e-01,1.967998123799000076e+00,2.375480559875000175e+00,-3.281430747717499941e+01
1.719830878899999971e-02,4.948465356974000251e+00,2.723632362002999852e+00,1.170713945099999959e-02,1.617461096870000115e-01,2.727167867659999967e+00,-3.402537876939199890e+01
9.498283674599999893e-02,4.537484441485999831e+00,2.230147660972999990e+00,3.671098239700000265e-01,1.024147404130999917e+00,2.335062447958999865e+00,-3.073104150658799938e+01
1.600657680079999867e-01,6.524347171491999831e+00,2.576084528018999897e+00,3.942730372480000023e-01,6.130589851829999493e-01,2.152406194501999881e+00,-3.187952570653600048e+01
-1.236197406720000030e-01,5.206067334340000130e+00,2.869045106366999942e+00,2.340124287370000111e-01,8.797001423639999595e-01,2.402795213690000153e+00,-3.298597722032300084e+01
1.626370404789999891e-01,4.843371275033000245e+00,2.463603560721999930e+00,2.059004169449999977e-01,5.467356298240000356e-01,2.363875047371000182e+00,-3.492916854154400141e+01
5.930893142340000201e-01,4.766862809234000409e+00,2.253244060212999944e+00,4.159992544300000067e-02,1.671825319432000079e+00,2.467116493051999981e+00,-3.403647315821000063e+01
5.620552216900000231e-02,5.250258647166000436e+00,2.575643574873999864e+00,3.826650396369999929e-01,1.766873599053000010e+00,2.250215701959000114e+00,-3.108759640105200006e+01
9.452633984699999881e-02,5.867882340267000174e+00,2.627166837419999901e+00,1.477955909829999914e-01,7.506058562199999784e-01,2.650823100854999836e+00,-3.093588219943099915e+01
5.362490103520000106e-01,4.601514152827999915e+00,2.165452195888999842e+00,2.179559509289999975e-01,1.650282700333999930e+00,2.520843353354000005e+00,-3.141919778124000118e+01
1.950807663359999944e-01,3.335363342987000213e+00,1.903130724941000107e+00,1.524571716510000063e-01,1.027851992168999917e+00,2.321237495607999968e+00,-3.280451357228800191e+01
