# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
1.251281529769000089e+00,4.450071576793999562e+00,1.998588144968000080e+00,3.613478781089999869e-01,2.736495326160000019e-01,3.570466363113999897e+00,-1.709710632161199939e+01
3.980016587049999832e-01,7.018934038751000415e+00,2.838800083718000078e+00,1.949816433750000133e-01,9.182797944520000311e-01,3.768221424712999923e+00,-1.587188218691400010e+01
6.540522215340000001e-01,4.670333337627000425e+00,2.255975538293999882e+00,5.159284153899999781e-02,1.982031296769999895e-01,4.018917701246000007e+00,-1.535102764478600079e+01
7.479209712050000070e-01,5.294687442493000162e+00,2.401236386933999878e+00,3.308897093120000132e-01,1.163896774584999960e+00,4.019967793742999618e+00,-1.472384302905899922e+01
5.135596431829999586e-01,4.717790702223999766e+00,2.325235044715999955e+00,2.812437234929999752e-01,1.739522595274999972e+00,3.733870283711000049e+00,-1.451806928495200033e+01
2.951735665810000242e-01,6.996054646353999651e+00,3.031250322083999915e+00,1.162325387489999973e-01,4.948911975160000254e-01,4.196063140787999579e+00,-1.641298202528399841e+01
7.438880857149999803e-01,5.168558893652999586e+00,2.213668501712000136e+00,1.729455797470000056e-01,1.956832139509000035e+00,3.638219345322000198e+00,-2.051222292037000017e+01
8.373260165500000518e-01,3.853206000678000009e+00,1.923558249942999954e+00,4.413949896059999878e-01,3.376424939009999848e-01,3.871990286988999941e+00,-1.558553766914799965e+01
5.696755779200000092e-01,4.550355959683000329e+00,2.229163341213999949e+00,4.372077767149999961e-01,3.136222643709999924e-01,3.783456201008999820e+00,-1.494201561704699976e+01
6.256147249300000324e-01,5.649370398002999671e+00,2.517669896918000028e+00,4.542432401279999921e-01,1.524079846133000071e+00,3.731128181334999905e+00,-1.549160858175999955e+01
4.733095856639999988e-01,4.788514412007000232e+00,2.422446425157000149e+00,6.435904065500000493e-02,1.206525175164999908e+00,3.960751202169999985e+00,-1.497188039189500053e+01
8.582088012080000272e-01,4.417811477366000439e+00,2.161137856947000113e+00,3.227563130799999958e-02,3.863522457829999812e-01,4.115874800437000047e+00,-1.539299785664499964e+01
4.662447171449999872e-01,6.810176908472000079e+00,2.761039020401999888e+00,1.578312548759999989e-01,3.244576530950000204e-01,3.741746216741999920e+00,-1.611240085614599948e+01
3.329993933250000038e-01,9.514016619665000007e+00,3.144226820297999936e+00,5.056808089319999588e-01,8.790866278429999570e-01,3.363572887736999917e+00,-1.820653390889100010e+01
5.518319244449999550e-01,3.878123365089999997e+00,2.312124276870000106e+00,3.402668194119999878e-01,1.579357067808000004e+00,3.647634598687000018e+00,-1.794133669173600154e+01
5.891565852240000511e-01,5.043462009089999754e+00,2.308194255221000191e+00,3.793477399140000039e-01,2.043625512720999904e+00,3.770722833354999803e+00,-1.501414833115599912e+01
2.359296168439999897e-01,4.309865266539000039e+00,2.588634585639999930e+00,2.754816232380000174e-01,7.688298330239999867e-01,3.625887285271999882e+00,-1.733463275995499941e+01
1.300066118569999929e-01,4.724303535702000012e+00,2.689534040030999940e+00,2.043956253670000112e-01,1.374179922461999936e+00,4.141418768395999983e+00,-1.586998837408700069e+01
1.578336199139999951e-01,4.487333533465999835e+00,2.454731339030999937e+00,3.649617710420000050e-01,1.111490108796000076e+00,3.506568408498000000e+00,-1.556225375974699965e+01
2.868077331810000019e-01,5.835744138195999575e+00,2.747068038864000084e+00,6.341494829789999788e-01,9.428771224240000137e-01,3.703440288303000205e+00,-1.778037430444900124e+01
3.967403303820000171e-01,4.368095792182000281e+00,2.342624639523999797e+00,2.769584561130000178e-01,2.003117210307999940e+00,3.829513929242999826e+00,-1.534564608698699928e+01
9.644773932000000327e-02,6.592489818785000288e+00,2.984928510809000013e+00,6.985936203199999417e-02,4.852786069439999905e-01,3.823764437481000034e+00,-1.594247736138700056e+01
3.060210275190000107e-01,6.665455830167999807e+00,2.862909982721999924e+00,3.225268237369999791e-01,5.257047336999999890e-03,3.504214504086000215e+00,-1.510339033478100035e+01
9.362443631050000326e-01,4.654090605937000191e+00,2.184964496755999797e+00,7.896748878100000313e-02,2.466970178232000155e+00,4.092082188682000243e+00,-1.615044905310999823e+01
4.615666147749999948e-01,4.477206732883000306e+00,2.321512845163999916e+00,2.572143024649999887e-01,1.980058864694999921e+00,4.011407949812999973e+00,-1.492769555297999950e+01
7.099640811049999778e-01,5.148786824045999744e+00,2.332804679201000209e+00,3.422266564829999913e-01,6.003265192619999802e-01,3.859140063708999868e+00,-1.675876204676299963e+01
9.114664202459999975e-01,4.003915041269999975e+00,2.050268987551000066e+00,2.410326530299999881e-01,1.811119158304999921e+00,3.677337505205000134e+00,-1.658604157699300075e+01
9.913043538500000418e-01,6.335474071764999771e+00,2.296949436019000146e+00,6.033860004429999480e-01,8.313235372639999898e-01,3.553336892113000189e+00,-1.652767735385199899e+01
8.223179302780000421e-01,4.921003377544000301e+00,2.442406291620999870e+00,2.321582871710000107e-01,1.509159428647000034e+00,3.745266396768999861e+00,-1.681374291945000010e+01
1.051266538311999899e+00,3.786149412437000095e+00,1.906468905392999957e+00,1.388992974480000031e-01,1.506710064133000015e+00,3.603600354426999886e+00,-1.693199001951800042e+01
4.227489585020000051e-01,5.680902927414999581e+00,2.711690258342000170e+00,3.796331169850000187e-01,1.304034388082000007e+00,3.870118889026000097e+00,-1.408647789702400033e+01
1.863827335580000022e-01,6.148000726095999902e+00,2.919722525489000020e+00,3.494282408950000196e-01,6.123899894330000482e-01,3.585453928859999806e+00,-1.499460665696899930e+01
6.226221176720000416e-01,4.358579465278999976e+00,2.327768332947000030e+00,4.681216114299999870e-02,5.695128431849999506e-01,3.761205271006999862e+00,-1.550629253996000045e+01
4.663980909129999963e-01,4.773636070416999999e+00,2.485608567917999778e+00,7.002068320099999466e-02,2.723876631999999978e-02,3.860909452411999787e+00,-1.529141200812100010e+01
4.582640658620000251e-01,5.090858661796000106e+00,2.495779268030000164e+00,2.131609659479999919e-01,2.764662063117000024e+00,4.116020843377000027e+00,-1.406946365619499950e+01
5.899139334799999995e-02,6.675540238937999860e+00,2.926616646683000145e+00,2.091372620770000079e-01,5.645474442500000301e-01,3.882698869316000057e+00,-1.584457593070399994e+01
2.224528007980000055e-01,4.074129203571000168e+00,2.542455191405000203e+00,1.867384532700000141e-02,1.422284370257999919e+00,3.582878072449999785e+00,-2.052543584647600028e+01
7.147788690440000092e-01,5.899079752436000135e+00,2.314294397734999897e+00,6.702971425820000162e-01,6.472169195870000058e-01,3.412374175951999877e+00,-1.669465409710900161e+01
4.650615853169999814e-01,7.042887123147999695e+00,2.891392278525999782e+00,9.577372957999999437e-03,1.467622202463999992e+00,4.205207062664999995e+00,-1.629485774964300049e+01
1.948495866900000137e-02,8.273680179420999536e+00,3.367131653343999886e+00,3.798516967999999994e-02,1.710413378301000042e+00,3.716557646340000076e+00,-1.603594982141899905e+01
6.864204029270000174e-01,4.822288472851999686e+00,2.253654280309000058e+00,3.638804094999999877e-02,4.444211509630000001e-01,3.992211364146000196e+00,-1.602336862682500040e+01
1.750279077040000075e-01,5.286908136541000225e+00,2.536192582663999939e+00,3.324605607739999913e-01,2.132606672256999847e+00,4.131101065971000352e+00,-1.855375447300299996e+01
2.715843872190000230e-01,6.015251315568000301e+00,2.856641384291000119e+00,7.980411198600000089e-02,4.469926130899999905e-01,3.620421201754000062e+00,-1.527730675570600027e+01
4.968999513369999899e-01,4.380659241975999763e+00,2.243458370189999940e+00,3.003167873090000217e-01,1.168288156338999961e+00,3.683851747851000002e+00,-1.519367148142899993e+01
5.953134778749999967e-01,7.158350562314000243e+00,2.821383255200999862e+00,4.193872527399999939e-02,1.274697523513000030e+00,3.712154473102999841e+00,-1.757668370817599879e+01
3.038184005949999822e-01,5.017204347780999996e+00,2.542523154588999912e+00,3.493169170109999833e-01,2.157467346304000166e+00,4.037858899279999747e+00,-1.515068352888800085e+01
3.318789732820000005e-01,4.652455991413000369e+00,2.442711539424000211e+00,1.547142278159999995e-01,1.453153284377000087e+00,3.910693920302000137e+00,-1.492052690406199922e+01
8.223179302780000421e-01,4.921003377544000301e+00,2.442406291620999870e+00,2.321582871710000107e-01,1.509159428647000034e+00,3.745266396768999861e+00,-1.681374291945000010e+01
3.484569480990000190e-01,5.224274380467999634e+00,2.529150966186000105e+00,2.340131479520000113e-01,1.236435121933000092e+00,3.964131176002000156e+00,-1.542152423562900054e+01
6.140877426330000333e-01,4.967646743827000222e+00,2.478369042441999959e+00,2.723537716939999909e-01,2.354956611735000038e+00,3.786082112449999926e+00,-1.480129633650300036e+01
4.063147577260000087e-01,6.182748533109999833e+00,2.673847102678000187e+00,6.437036106439999461e-01,8.995082756850000250e-01,3.601759157466999817e+00,-1.557535978904400054e+01
5.498859336420000021e-01,4.760943573569999643e+00,2.428393477668000067e+00,1.014719475860000053e-01,7.982466254379999571e-01,4.195718360612000097e+00,-1.575456923075300075e+01
3.782617984630000096e-01,5.210003165529999869e+00,2.605901396943000048e+00,9.008082479600000581e-02,1.055142539915999933e+00,3.823967113760000203e+00,-1.505687236629299974e+01
6.345091610840000174e-01,6.513450715029000193e+00,2.507824842649000185e+00,2.132856408129999992e-01,7.347240672220000102e-01,3.899760187328999983e+00,-2.037669808037000152e+01
3.625749160300000273e-01,4.975423197685000076e+00,2.646575275977999908e+00,1.571255143530000120e-01,1.098813463019000070e+00,3.422597580606999923e+00,-1.610166324907800117e+01
8.294476586550000308e-01,4.398036859986000024e+00,2.188402098797999962e+00,1.600175414939999929e-01,1.033516008210999981e+00,4.028167785291000058e+00,-1.602883892375099961e+01
4.219119362950000118e-01,4.862320143303000108e+00,2.441071974509000153e+00,3.428893100070000144e-01,2.174772173811000187e+00,3.542804046695000153e+00,-1.466965131670299982e+01
1.802963244680000077e-01,5.207455775675000176e+00,2.698309146206999909e+00,4.464949098300000085e-01,1.479328677137000003e+00,3.615556013957999859e+00,-1.582979804183799999e+01
1.598848540689999931e-01,5.332578413173999721e+00,2.691841045653999842e+00,2.197720099990000120e-01,1.066746330059000103e+00,3.581111017242000205e+00,-1.525679529485100083e+01
8.774386262040000384e-01,4.353463757694999714e+00,2.231592370895000066e+00,2.017706107749999977e-01,1.474418910944000016e+00,3.892362577560999792e+00,-1.538410926801999956e+01
5.319610736530000494e-01,6.424766797043999667e+00,2.480312955671000186e+00,6.450581677279999537e-01,4.201472268470000104e-01,3.387226591215999782e+00,-1.567579208893599940e+01
3.235465080800000170e-01,6.330667751707999891e+00,2.725669293320999831e+00,8.653193483099999583e-02,4.633874422409999805e-01,4.106405801798000077e+00,-1.549066570387799935e+01
4.240163275880000082e-01,5.222743617848999875e+00,2.328849098591999844e+00,6.639526002150000217e-01,1.145524219904000107e+00,3.485761587185999932e+00,-1.467117074653999964e+01
4.603958640849999950e-01,4.814717692038000152e+00,2.227205481825000000e+00,2.674269764030000052e-01,5.179245641559999669e-01,3.717078857524000135e+00,-2.053885012219999950e+01
1.485738088790000133e-01,4.712021171222000149e+00,2.636686373464999900e+00,5.088130856179999828e-01,1.415485682479000085e+00,3.261959141007999996e+00,-1.707563833985700086e+01
8.570520924829999609e-01,5.547082672204999731e+00,2.405129424113999992e+00,3.726080404809999913e-01,5.695077851090000198e-01,3.682469863137999955e+00,-1.643212499699799878e+01
3.651589006090000256e-01,4.597503563819000050e+00,2.513253420973000196e+00,1.443134912429999972e-01,1.469787282715000032e+00,3.647204317657000150e+00,-1.574666556712099919e+01
8.397213315420000157e-01,4.399551980303000320e+00,2.158571749720000099e+00,5.384118933100000282e-02,1.097396021455000037e+00,3.581134401483000218e+00,-1.656205062147800078e+01
1.582360467792000014e+00,3.529111251737000021e+00,1.854447223828000091e+00,1.282012645360000036e-01,8.448625585969999907e-01,4.209276784214999623e+00,-1.876288030328399969e+01
3.578704004959999962e-01,4.640907452796000143e+00,2.533863123404000106e+00,8.928653975700000245e-02,7.738314179959999706e-01,3.467178800704000086e+00,-1.747815716541800057e+01
5.762484297859999938e-01,4.066876774409999840e+00,2.337768805260000082e+00,3.761187845110000039e-01,1.674089201326999898e+00,4.069453545287999852e+00,-1.693947748603499903e+01
4.249458620450000113e-01,6.702942683647999722e+00,2.771425842746999990e+00,3.631956549249999999e-01,1.066535858869999964e-01,3.717029497128999882e+00,-1.589641909038700085e+01
