# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
1.862193909950000115e-01,4.667233544319000060e+00,2.249081086347000102e+00,1.860056909189999885e-01,1.320943031936999912e+00,3.038288051249999899e-01,-2.306989016080099830e+01
1.038061129311999897e+00,3.506004195292999892e+00,2.065811312432999980e+00,2.833756239399999946e-02,4.851257961039999733e-01,3.395429970452000124e+00,-2.294459259810700047e+01
1.414667793599999959e-02,4.349461759563999941e+00,2.331528897537999967e+00,1.294894279090000044e-01,1.022594115006000060e+00,1.555170510436999942e+00,-2.217663508191400012e+01
1.785809517499999943e-01,6.459123569127999787e+00,2.737881688884999942e+00,2.875934558570000243e-01,1.228344199826000072e+00,1.301854468511999929e+00,-2.168098401340699866e+01
1.353265800740000024e-01,4.450572008165999627e+00,2.301709234766999845e+00,2.224540514040000139e-01,1.019606262171999900e+00,1.651167889576000025e+00,-2.218312387595500113e+01
1.338208277269999913e-01,4.122080320974999879e+00,2.244583308696999957e+00,4.141283792500000116e-01,1.254528200506999980e+00,1.036287010159000044e+00,-2.201421300196100006e+01
3.794846459260000082e-01,5.285675464168000381e+00,2.452361522692000140e+00,1.864708372589999885e-01,1.084454353211000033e+00,1.570377904574999928e+00,-2.116982967822400141e+01
9.766563511600000191e-02,5.869508256353999975e+00,2.514797087910999984e+00,4.116525984880000100e-01,1.467300692408999963e+00,4.562838874990000071e-01,-2.420684288357699998e+01
5.108472361210000257e-01,5.810055696613000364e+00,2.543978663210999969e+00,3.363890528990000073e-01,8.425518536160000460e-01,1.883016355622999960e+00,-2.276024108719400019e+01
6.001221005300000355e-01,4.745306856612000246e+00,2.296991178447000070e+00,2.155403518600000068e-01,6.059247474069999750e-01,3.032275945934999939e+00,-2.295741928228800077e+01
-1.767768470600000058e-02,5.637663497521000266e+00,2.582348206293000104e+00,4.328454264489999814e-01,1.387744236827000099e+00,7.532219052059999642e-01,-2.204176079736599903e+01
-5.330553019000000385e-03,5.582991000604000220e+00,2.679193380490000109e+00,3.404842181700000192e-01,1.096924474938000049e+00,1.305913260142000043e+00,-2.228478113619399892e+01
9.472837158960000226e-01,4.931248924721000293e+00,2.345049615516999975e+00,1.913806083600000027e-02,6.327227129900000469e-01,2.799440522020999911e+00,-2.262775175696300067e+01
2.965914663509999771e-01,4.929202184688000088e+00,2.342310354360999991e+00,2.692298209980000245e-01,1.214490317949000087e+00,1.160235497995999898e+00,-2.128757634812100008e+01
1.010531676880000035e-01,4.143455327486999629e+00,2.299087869066999801e+00,1.190735196010000024e-01,1.170735706352000083e+00,1.042395628536000096e+00,-2.474796151598500060e+01
4.172205560600000251e-01,4.050257193695999902e+00,2.064300788050000168e+00,4.470199132850000145e-01,1.159128230671000015e+00,1.097022660047999976e+00,-2.477269990580499837e+01
9.348597417180000146e-01,3.727737936108999950e+00,2.139034443602000124e+00,4.529480205999999835e-03,6.605984459000000530e-01,2.678307472901999997e+00,-2.478805075429900029e+01
2.163655309220000045e-01,5.322741618579000189e+00,2.158443344070000158e+00,1.552110941329999938e-01,1.113375210372999913e+00,1.852546688230999994e+00,-3.158465474079200064e+01
4.540727808269999777e-01,4.312428179238000148e+00,2.269158374737000106e+00,2.287489749849999920e-01,1.019514251424000095e+00,1.738339658888000017e+00,-2.079521381972099903e+01
3.184976540639999909e-01,4.629416394856000316e+00,2.310811904926000082e+00,4.157562151990000232e-01,9.685576133459999904e-01,1.792667374752999976e+00,-2.090138241868899982e+01
5.429604731000000316e-03,3.544025711566999970e+00,1.974515638421000086e+00,4.127664686929999882e-01,1.014336084206000077e+00,1.296856123173000030e+00,-2.444168710641699960e+01
4.053963183650000079e-01,3.994017344887999865e+00,2.127665649818000215e+00,2.175413252239999928e-01,1.045936105205000022e+00,1.871061756325999914e+00,-2.149410908446100166e+01
1.609552855300000127e-02,4.674669377386999614e+00,2.302300502017000206e+00,4.093420333589999904e-01,1.041138561346000024e+00,1.638070269086000064e+00,-2.589533033066500067e+01
2.532021624410000227e-01,5.604237814084999769e+00,2.558873534822999840e+00,4.154228066010000053e-01,1.041491660649999984e+00,1.215888971450000078e+00,-2.425099997562400134e+01
1.611407676799999911e-01,5.129768358217000390e+00,2.494426276905000073e+00,2.366455163089999925e-01,9.581282691610000235e-01,1.373453784490000107e+00,-2.285999734083500101e+01
2.189760760170000042e-01,4.322573941781000073e+00,2.175840628032999824e+00,4.118237798919999748e-01,1.186505468608000102e+00,1.436862602671000078e+00,-2.230048823184199946e+01
-2.851110990999999872e-02,5.473599713619000440e+00,2.338554516293000152e+00,8.566189948960000189e-01,1.159180364450999923e+00,8.167284754760000265e-01,-2.391365763746399864e+01
4.947674050359999742e-01,3.585685718270000155e+00,2.225645938022000170e+00,1.217886446430000019e-01,7.734694267939999923e-01,2.279183740365000155e+00,-2.279337857159800151e+01
1.024390872429999932e-01,5.022482113496000267e+00,2.383271605401000137e+00,6.061386357799999902e-02,1.249495350077000078e+00,8.502789320670000039e-01,-2.227283021993699919e+01
2.790571240640000172e-01,5.399065476612999959e+00,2.667083078230000126e+00,1.487752423819999892e-01,8.558693727139999874e-01,2.524660981813000138e+00,-2.305561202146299848e+01
4.227865650300000055e-01,3.724805374988000128e+00,2.054079903618999836e+00,1.331086718039999894e-01,9.795827222280000246e-01,1.683202544603999984e+00,-2.220552854571700152e+01
2.155221930250000029e-01,4.285198821916999634e+00,2.258921095848999805e+00,2.663491425680000191e-01,1.066741966634999983e+00,1.770159457819000082e+00,-2.235369276067899946e+01
9.002608603139999888e-01,3.947941225302999957e+00,2.047897297580000053e+00,8.318436786600000299e-02,3.941677887780000167e-01,3.338721358449999954e+00,-2.880610891225000003e+01
4.756583342349999799e-01,4.112228042535000405e+00,2.087200329445999980e+00,1.834830201740000055e-01,9.164869695270000394e-01,1.829826905300999895e+00,-2.028361090752499862e+01
6.225182983620000110e-01,6.077718511303999982e+00,2.538892342012999848e+00,1.820163032060000130e-01,1.010980238237999984e+00,1.739482476715999981e+00,-2.392155228934700162e+01
4.159112461419999796e-01,5.067429210645999937e+00,2.210221790048000123e+00,2.818712260930000268e-01,1.231111031771999986e+00,1.252715807161999928e+00,-2.186002857721799941e+01
6.838818989499999557e-01,3.878697342953000060e+00,2.135905978643000136e+00,9.253540786000000531e-03,6.100201006750000099e-01,3.149723603997999888e+00,-2.121435738459300069e+01
5.522519336000000431e-03,5.306690243995999978e+00,2.595111467974000163e+00,4.678611546499999996e-01,1.321545855107000067e+00,7.613628347019999465e-01,-2.073376993729700146e+01
-2.005632148919999913e-01,4.908541900632999777e+00,2.663965911571000156e+00,2.915970376690000254e-01,1.286771666274000081e+00,6.100335677689999736e-01,-2.360718260229500132e+01
1.644215354440000110e-01,5.009784308808000297e+00,2.432982869656000080e+00,2.574433277600000070e-01,1.029940698124000020e+00,1.756282319095000100e+00,-2.241770127304599924e+01
1.298747978879999931e-01,4.059440997479000224e+00,2.110716075905000100e+00,1.800370035739999874e-01,1.159538584971000041e+00,1.464973955193000110e+00,-2.148727940480199905e+01
7.833378944350000150e-01,3.552300557858000030e+00,2.155676619220999957e+00,8.064874193700000138e-02,5.573695767799999867e-01,2.665457642180999898e+00,-2.533116755045400126e+01
3.907560712789999724e-01,4.521266349423999742e+00,2.378904431386999807e+00,2.167491143899999972e-01,9.229236179099999937e-01,2.265666553395000005e+00,-2.053869341189999886e+01
5.775197018109999858e-01,4.439389025462999960e+00,2.224119304549999843e+00,1.324322969720000132e-01,8.010766914010000184e-01,2.415638893432999978e+00,-2.033846196146599894e+01
4.392196457659999775e-01,4.635455997242000414e+00,2.330987829270999789e+00,1.920979586890000090e-01,1.068622501858000007e+00,1.485838011173999940e+00,-2.216118253581100106e+01
7.064967947100000423e-01,3.739006929707000104e+00,2.042571027580999843e+00,7.117899345799999500e-02,1.205172735886000046e+00,1.713690019863999936e+00,-2.390901493992500093e+01
7.702178936450000402e-01,4.586834375991999835e+00,2.109092085503999847e+00,5.361699240000000061e-02,1.198774239423999965e+00,1.489089142342999939e+00,-2.379838709755300030e+01
2.829542620300000144e-01,4.613681199013999645e+00,2.391575233023000013e+00,5.601368571120000084e-01,9.126918662890000089e-01,1.496229010805000037e+00,-2.462630151687699964e+01
8.638333949019999514e-01,4.344194302233000293e+00,2.021487560818000073e+00,6.585915899899999482e-02,1.358709032014000062e+00,1.409388958129000002e+00,-2.670643969162900078e+01
5.068380302620000277e-01,5.180500751000000292e+00,2.131265222210000143e+00,4.343531625900000082e-01,1.381212445103999986e+00,7.685109277070000244e-01,-2.276378260718500002e+01
2.019948853940000122e-01,4.846766664009000358e+00,2.727953339597999793e+00,2.619609407019999892e-01,7.137837598640000003e-01,2.810697614301000069e+00,-2.434707972691800038e+01
3.125207271250000085e-01,4.662295465049999699e+00,2.238228864878000213e+00,3.858692404990000102e-01,1.253073432737999982e+00,6.969607087670000034e-01,-2.321790381193899933e+01
1.654935947099999902e-02,4.608440264560999644e+00,2.487576023417000126e+00,2.174442531999999928e-01,1.063092232575999940e+00,1.323843416571000020e+00,-2.173099473275900095e+01
7.213164901949999930e-01,5.301606784767000313e+00,2.152997523989999884e+00,1.470083282190000062e-01,1.197025520451000080e+00,1.761538756752000001e+00,-2.391833500394799827e+01
-3.268571649199999984e-02,4.124869457860000033e+00,2.569367503192999891e+00,3.564198749999999906e-04,8.783829004340000246e-01,1.876931885180000092e+00,-2.250853884258799908e+01
5.947999472270000254e-01,5.657519604673000302e+00,2.552305935666999925e+00,3.782463566679999944e-01,8.421136377719999899e-01,2.233171513418000131e+00,-2.206854510433399952e+01
2.423498985099999947e-01,5.454741785490000439e+00,2.393463493200000070e+00,5.012412169309999888e-01,1.448959371489999981e+00,6.583923661530000082e-01,-2.356063559294500109e+01
4.466893812500000172e-01,5.445349895891999914e+00,2.535607075170999813e+00,7.850287626000000685e-02,1.010047645812000017e+00,1.883310456927000054e+00,-2.146871576986000107e+01
-1.610465751919999966e-01,4.238736758941000105e+00,2.690699967916999835e+00,1.322785324920000005e-01,8.857954680390000002e-01,1.750100824226000107e+00,-2.438273330864999977e+01
5.558711988140000448e-01,4.785395921992000368e+00,2.362260628232999871e+00,2.252369181899999961e-01,9.248202323059999674e-01,1.817771526505999935e+00,-2.165473153487700131e+01
9.566904854000000263e-03,5.514325861209999680e+00,2.751161048214000093e+00,7.085700536110000058e-01,1.039218274246000107e+00,1.578234840382999993e+00,-2.140556101105899955e+01
