# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
1.982558409336999894e+00,6.180594532310999867e+00,2.698617617971000193e+00,4.585757306759999929e-01,-1.797729815800000117e-02,7.272071536720999596e+00,-1.963560393944399962e+01
1.499109430894000061e+00,4.688045602795999578e+00,2.419464483591999837e+00,1.633094898309999932e-01,7.291308140229999513e-01,5.066260118869999829e+00,-1.718324170094399861e+01
1.128005791707000105e+00,3.368172975644000200e+00,2.129898452836000100e+00,5.063376429560000336e-01,6.088818703759999451e-01,4.738927752540999627e+00,-1.746518786992099947e+01
2.038876582393999826e+00,3.848806414893000127e+00,2.683579799338000171e+00,2.443147936510000062e-01,-2.264768948820000127e-01,7.484292710797999959e+00,-1.418747576826200074e+01
1.318001905815000097e+00,4.013683206080999710e+00,2.354899587862000043e+00,9.486870376099999780e-02,7.451892247269999991e-01,4.552600621153000127e+00,-1.959203391709599984e+01
2.486038710794999940e+00,5.154294346680999617e+00,2.388291640238000113e+00,1.697331137070000051e-01,3.528425476829999963e-01,7.230668779045999806e+00,-1.964743727303499909e+01
5.670849250639999894e-01,4.391538965840999786e+00,2.351546617044999898e+00,9.115983908999999996e-02,1.289868729776000089e+00,2.601263211177999857e+00,-2.334835713817199832e+01
8.090016019000000336e-01,5.523495436142000337e+00,2.585999232663999781e+00,1.871918012440000056e-01,1.305265524776999975e+00,2.809127526828000043e+00,-2.088502522256800020e+01
1.572479567897000052e+00,5.380271344729999683e+00,2.739397058627000003e+00,1.784369893620000036e-01,3.241436044089999746e-01,7.143321227358000236e+00,-1.787159799747799838e+01
6.285051344769999604e-01,5.568328222548999840e+00,2.901230963220999826e+00,7.130515180799999742e-02,9.665825531330000109e-01,3.994130131988999910e+00,-2.101445407617600125e+01
1.679066624003999975e+00,3.506931331326999857e+00,2.420308622943999843e+00,3.260755090870000039e-01,3.013540362380000004e-01,6.728808437815000154e+00,-1.750337895181800008e+01
1.323506549768000085e+00,4.262832581628999584e+00,2.266217231864000148e+00,2.470869768700000024e-02,8.711017505839999675e-01,4.785718438185999624e+00,-1.855857020710699956e+01
1.563416313582000061e+00,5.178536510437999674e+00,3.169063927724999896e+00,6.847888933000000344e-01,-5.663591716810000287e-01,7.966596954337999748e+00,-1.585651851853300087e+01
1.299619417034999946e+00,3.425350402223000135e+00,2.148104131494999791e+00,5.941938217000000133e-01,4.112374464110000183e-01,4.822072821547999766e+00,-1.663485361875600077e+01
7.105061335690000535e-01,4.665396230074000172e+00,2.518529470013000093e+00,2.029951124770000004e-01,1.306014309695000097e+00,2.852932273810000030e+00,-2.151373749556699977e+01
3.627147157660000065e-01,4.651802029028999641e+00,2.566744505448999902e+00,1.290742105040000032e-01,1.317078418813999896e+00,2.525899992389000204e+00,-2.139104411299700104e+01
9.564633847750000362e-01,4.959715883957000138e+00,2.605472815101999906e+00,1.083362936319999942e-01,7.535575725630000443e-01,4.285027840694000112e+00,-1.846079275947199960e+01
1.781851475964000064e+00,2.754804305253999885e+00,2.384008409649000182e+00,1.735699239379999981e-01,-6.355588640999999817e-02,6.638028447936999754e+00,-1.985876274890999937e+01
1.480793663335999932e+00,5.945438092354000226e+00,3.299940095749000157e+00,5.171508194610000553e-01,-5.856944868179999597e-01,7.683983544884999795e+00,-1.785049738698100086e+01
1.532907348766999966e+00,5.983041085601000120e+00,3.345913448227999965e+00,5.181265040400000466e-01,-5.224445828949999537e-01,7.317484755718999700e+00,-1.817927562039299971e+01
1.184142418591999979e+00,3.844841106567999933e+00,2.345996666273999942e+00,8.536001076599999959e-02,8.317482043289999849e-01,4.508470355843999577e+00,-1.715457002021700106e+01
4.976529018220000045e-01,4.650124848455999604e+00,2.454106958769000091e+00,3.072550142799999884e-02,1.314207416581000043e+00,2.478257245498999950e+00,-2.429777010557900141e+01
1.497047881911999889e+00,4.836752706330000429e+00,2.426279070106999836e+00,1.424691257490000029e-01,6.655797249229999935e-01,5.128046905831999958e+00,-1.799291584667000166e+01
1.387152941085000091e+00,7.952573315079000338e+00,3.102012905078999960e+00,3.839001321530000066e-01,3.945393849889999860e-01,5.439890322882000362e+00,-1.958000428152499950e+01
2.281658939090000171e+00,6.112250724385000389e+00,2.593376253618000060e+00,4.392734884289999919e-01,2.555833820519999855e-01,7.169213123188000303e+00,-2.169366065963399848e+01
6.909910835620000080e-01,5.093331198619000411e+00,2.472920649113000024e+00,3.752360131420000022e-01,9.564554636409999810e-01,3.623452398653999929e+00,-2.055750342141400111e+01
