        1125         240         102          37          18           5           1           0           1           0
        1066         260         107          40          21           5           0           1           0           0
        1123         271          89          45          11           3           0           0           0           0
        1126         271          97          30          13           4           1           0           0           0
        1196         253          79          37          15           3           0           0           0           0
        1209         256          85          26          11           5           1           0           0           0
        1242         251          85          26           6           3           0           0           0           0
        1264         237          87          22           6           2           1           0           0           0
        1193         240          91          34           4           4           2           0           0           0
        1171         292          84          24           6           4           0           0           0           0
        1179         248          90          26          14           5           1           0           0           0
        1124         264          94          35          16           4           0           0           1           0
        1153         266          81          40           9           5           1           0           0           0
        1086         265         115          37          16           2           1           0           0           0
        1168         275          88          31          14           3           1           0           0           0
        1197         256          87          35          12           2           1           0           0           0
        1133         273          87          44          11           3           0           0           0           0
        1108         263         100          46          14           4           0           1           0           0
        1056         290         110          38          11           7           1           1           0           0
        1119         253          88          41          20           5           1           1           0           0
        1044         289          78          48          13           9           4           0           1           0
        1086         250         109          44          14           4           1           0           0           0
        1150         259          90          30          14           7           3           0           0           0
        1152         266          82          31          12           7           1           0           0           0
        1181         231          90          32          19           2           0           1           0           0
        1134         260          82          38          16           4           2           0           0           0
        1124         264          85          34          16           5           3           0           0           0
        1131         246          89          36          18           6           1           1           0           0
        1100         249          93          41          18           8           1           0           0           0
        1096         248          89          32          25           6           4           1           0           0
        1145         252          89          38          15           2           2           0           0           0
        1117         270          89          37          10           3           1           0           0           0
        1149         257          75          42          17           5           0           0           0           0
        1155         260          84          34           9           4           2           0           0           0
        1138         243         109          33          12           5           2           0           0           0
        1119         258          93          43          17           5           1           0           0           0
        1112         250          90          37          16           8           1           1           0           0
        1203         255          80          29          11           2           1           0           0           0
        1160         244          84          39          15           7           2           0           0           0
        1125         267          93          31          17           3           2           0           0           0
        1155         263          76          46           8           4           2           1           0           0
        1194         231          90          35          17           5           0           0           1           0
        1149         249          98          24          12           6           0           0           0           0
        1135         257         103          26          17           3           1           0           0           0
        1113         260          96          40          11           4           1           1           0           0
        1132         259          85          37          16           3           3           0           0           0
        1120         272          98          39          10           3           1           0           0           0
        1090         249         105          40          16           3           0           0           0           0
        1105         276         103          34           8           3           0           0           1           0
        1141         271          88          32          12           2           0           1           0           0
        1196         272          80          30          10           3           1           0           0           0
        1128         268          97          29          16           6           0           0           0           0
        1138         275         101          32          12           2           2           0           0           0
        1063         263         101          44          18           3           1           0           0           0
        1153         269          91          30          11           3           1           1           0           0
        1122         267          97          35          17           2           1           0           0           0
        1070         265         118          36          16           3           1           0           0           0
        1064         292          88          36          22           2           3           0           0           0
        1065         292         100          41           9           8           1           0           0           0
        1116         285         104          31          11           4           1           1           0           0
        1121         281          85          33          15           3           2           0           0           0
        1177         259          78          27          17           9           0           0           0           0
        1118         233         115          41          15           2           3           1           0           0
        1099         285          94          40          15           3           2           0           0           0
        1073         288          99          39          16           1           0           0           0           0
        1058         253         103          52          19           8           1           0           0           0
        1193         257          78          45          17           1           0           0           0           0
        1096         286         108          36          15           4           1           0           0           0
        1131         274          91          32          14           5           2           0           0           0
        1083         277         116          33          14           5           0           1           0           0
        1101         280          91          37          18           5           0           0           0           0
        1101         267          90          41          17           4           2           1           0           0
        1144         256          93          45          13           4           3           0           0           0
        1120         255          99          40          15           5           0           0           0           0
        1086         255         103          51          21           5           0           0           0           0
