         494         333         187         154         125          95          63          34          24          14
         466         318         231         170         120          80          58          38          24          13
         475         311         247         141         109          90          47          37          30          18
         478         276         217         149         129          80          68          33          31          24
         497         324         206         159         117          86          56          33          19          13
         489         366         198         134         128          70          56          36          26          15
         538         332         215         141         118          87          57          31          16          14
         603         309         217         120         117          61          53          39          30          18
         566         325         226         139         113          75          52          21          27           8
         595         305         215         145         104          70          40          27          27           6
         559         337         196         147         110          71          47          33          18           9
         597         301         201         140          85          77          39          29          30          17
         557         311         193         135         107          66          61          40          22          11
         549         340         222         132          86          78          44          40          25          19
         569         323         229         161          99          68          46          25          22          15
         567         304         178         159         103          71          61          41          27          18
         603         314         227         131          95          65          39          36          21          11
         563         335         165         161          85          74          55          51          19          11
         556         331         209         144         104          70          59          31          24          15
         556         301         213         148          99          87          51          36          19          11
         539         269         220         141         108          72          45          40          26          18
         603         343         199         132         116          71          46          26          17          11
         547         319         208         152         119          70          45          35          24          20
         575         323         221         144         117          64          50          33          17          12
         569         291         214         139         113          78          57          36          27          13
         589         314         218         131          97          76          49          31          16          21
         558         359         219         137          94          75          50          33          27          12
         542         314         215         133          99          80          50          41          26          14
         582         341         208         137         101          57          45          32          23           7
         603         316         183         140          92          58          46          26          27          14
         641         291         182         144          93          63          58          27          13          15
         622         290         200         122         103          57          53          27          16          12
         626         315         222         132          83          63          39          40          16           8
         668         328         197         117         102          59          38          30           9          16
         611         332         203         136          81          58          44          32          19          15
         617         324         200         148          96          70          48          31          20          16
         595         311         180         141          89          73          48          40          17          15
         585         296         229         140          92          53          43          38          27          20
         587         331         190         124         124          67          42          39          21          13
         594         300         220         134         112          73          41          29          24          14
         595         304         190         149          95          78          58          48          22          18
         605         329         213         133         117          75          45          37          13          14
         574         312         231         145          99          65          44          30          27          15
         586         318         194         156          97          63          51          24          17          11
         633         303         178         138          91          56          24          35          20          15
         655         300         200         136         101          58          41          22          21          13
         595         321         215         125         107          56          46          25          19          13
         671         336         195         139          76          56          34          28          19          14
         655         312         187         124          95          55          46          28          19          16
         729         300         179         126          84          50          43          28          14          11
         715         313         185         115          77          51          47          32          13           6
         682         311         196         124          84          54          46          17          12           8
         693         296         163         142          86          57          34          33          11          12
         718         312         189         138          88          56          31          16          16          12
         705         336         189         136          76          51          31          26          14           7
         697         339         191         118          79          54          38          27          13           3
         678         350         182         119          83          53          37          25          11           9
         625         308         198         127          99          65          39          27          20          14
         662         315         182         149          96          56          54          21          17          14
         626         329         204         130          75          62          35          30          25          15
         644         345         207         129          83          66          44          29          14          11
         656         297         183         140          83          72          35          37          18          10
         645         324         201         124          85          66          39          35          21           8
         595         319         204         137          90          64          50          32          19          15
         623         307         189         118          94          59          48          32          25          12
         604         313         203         150         102          69          55          31          19          10
         611         322         204         136          84          65          50          29          27          13
         613         317         203         143          90          59          50          29          20          11
         581         308         203         150          96          65          44          42          18          11
         589         319         207         133          93          78          50          35          17          15
         644         324         196         129         100          61          55          28          14          20
         572         337         203         137          86          70          51          30          21          16
         622         336         209         124         109          63          42          39          15          19
         536         315         228         152          93          95          51          26          21          15
         625         322         201         147          89          67          42          24          15          11
         611         325         219         139          84          60          52          30          13          13
         594         343         196         131         100          70          60          27          16          14
         577         339         197         127          95          65          40          31          24          12
         582         288         209         146         105          68          58          30          15          17
         636         313         185         136         113          74          38          23          17          14
         614         316         200         147          96          51          50          32          19           9
         549         308         198         144          95          72          67          33          18           7
         561         305         204         153         110          70          46          33          28          12
         603         343         218         126         117          53          33          37          25           9
         626         308         186         145         103          76          60          35          15          12
         580         335         201         144         107          63          45          28          20          12
         643         321         195         112          85          68          51          29          13          10
         561         331         203         153          90          76          44          24          19           8
         632         344         191         129          91          80          44          28          15          10
         608         349         212         137          94          61          39          33          15          10
         672         333         187         116          99          71          35          19          14          11
         651         322         205         108          83          61          49          27          25           7
         640         325         191         127          89          68          42          23           7          16
         619         314         191         141          98          53          37          29          25           7
         640         309         168         128         102          54          37          31          23          17
         621         323         189         121          94          78          29          23          19           8
         627         314         189         108          79          61          42          30          25          15
         600         299         163         139         116          61          49          29          21          15
         577         339         213         131          99          70          51          28          25          11
         641         327         200         140          90          70          37          25          20          13
         587         334         201         141          86          79          48          20          20          10
         628         299         209         144          96          53          32          35          25          11
         681         308         180         142          77          65          39          25          26          13
         631         313         196         125          92          68          46          26          24           7
         603         351         195         112          83          66          50          34          18          12
         562         323         198         160          83          66          42          33          21          19
         548         330         189         149          95          65          55          36          20          19
         589         329         212         138         108          66          44          34          22          11
         579         300         188         128         113          76          51          41          24          16
         558         338         215         134         102          77          47          29          28          14
         575         286         205         177         100          75          58          36          18          18
         552         301         216         150         100          85          58          37          24          12
         515         290         217         151         114          70          54          43          19          11
